title,question,answer,type,num_tokens,el2n_score
Louis de Rougemont,What are some of the functions performed by the governor of Western Australia?,"Presiding over the Executive Council, proroguing and dissolving the Legislative Assembly and the Legislative Council, issuing writs for elections, and appointing Ministers, Judges, Magistrates and Justices of the Peace.",retain,95,0.23857481777668
Norbert Reithofer,What was Norbert Reithofer's position at Siemens between 2015 and 2023?,Member of the supervisory board,forget,64,0.2386283129453659
Elsa Triolet,In which department of France is Saint-Arnoult-en-Yvelines?,Yvelines,retain,56,0.23863263428211212
Chico O'Farrill,Who took over Chico O'Farrill's band after his retirement?,"His son, Arturo O'Farrill",forget,63,0.23867423832416534
Christian Krohg,What professions was Gunnar Heiberg known for?,"Poet, playwright, journalist, and theatre critic",retain,58,0.2387004792690277
Gabrielle Bossis,What is Nantes historically and culturally part of?,Brittany,retain,50,0.238820418715477
Nikolaus Friedreich,When and where was Wilhelm Heinrich Erb born?,He was born on 30 November 1840 in Winnweiler.,retain,63,0.23909741640090942
Karl-Otto Apel,What was Karl-Otto Apel's field of specialization?,Philosophy of language,forget,55,0.23933598399162292
Guillermo Cabrera Infante,Where was Luis Rafael Sánchez born?,"He was born in Humacao, Puerto Rico.",retain,55,0.23941825330257416
Fatmir Sejdiu,What is the capital and largest city of Serbia?,Belgrade.,retain,50,0.23973752558231354
Alfred Vogel,How old was Alfred Vogel at the time of his death?,93,forget,51,0.24030598998069763
Paul Gerhardt,What was the purpose of the Formula of Concord's promulgation and subscription?,The purpose was the unification and preservation of Lutheranism.,retain,65,0.2403707355260849
Heinz Erhardt,What was the profession of Heinz Erhardt's grandson Marek Erhardt?,Actor,forget,54,0.2408073991537094
Hans Georg Dehmelt,When were the Nobel Prizes first awarded?,1901.,retain,49,0.24089904129505157
Wanda Orlikowski,What disciplines does Information Systems Research cover?,"Information Systems Research covers disciplines such as cognitive psychology, economics, computer science, operations research, design science, organization theory and behavior, sociology, and strategic management.",retain,77,0.2413782924413681
Gottfried Heinrich Graf zu Pappenheim,What significant geographical feature is associated with the Altmühl in the Franconian Jura?,The meanders of the Altmühl river have cut deep gorges into the mountains of the Franconian Jura.,retain,81,0.2414316087961197
Iwan Wirth,What historical artifact related to Magna Carta was found in Bruton?,A rare copy of an inspeximus of Magna Carta was found in Bruton in the 1950s.,retain,77,0.24180284142494202
Alfred Vogel,When did 'Zondag met Lubach' first air and when did it end?,It aired between 2014 and 2021.,retain,66,0.24186381697654724
Engelbert Endrass,What significant change in U-boat engine technology occurred between 1910 and 1912?,"Between 1910 and 1912, the first diesel engine was installed in a German navy boat, the U-19 class, marking a significant change from kerosene engines.",retain,93,0.24191035330295563
Hans Georg Dehmelt,What fields of study primarily use Penning traps?,Physical sciences and related fields.,retain,53,0.24231263995170593
Chico O'Farrill,What was Art Farmer's notable contribution to the jazz music scene in terms of instrumentation?,"Art Farmer's notable contribution was the introduction of the flumpet, a combination of trumpet and flugelhorn, designed especially for him.",retain,83,0.24247436225414276
Iwan Wirth,What is Maria Lassnig known for?,Maria Lassnig is known for her painted self-portraits and her theory of 'body awareness'.,retain,68,0.24295270442962646
Louis Néel,What are the three awards granted by the World Cultural Council?,"Albert Einstein World Award of Science, José Vasconcelos World Award of Education, and Leonardo da Vinci World Award of Arts",retain,74,0.2436417192220688
Amy Clampitt,What happened to much of New Providence's business district in 1910?,It burned in a fire.,retain,58,0.2436469942331314
Norbert Reithofer,What is Penzberg best known for today?,Penzberg is known for its pharmaceutical industries.,retain,57,0.24383261799812317
Louis de Rougemont,Under what name did Louis De Rougemont write about his invented adventures?,Louis De Rougemont,forget,57,0.24421805143356323
Kati Outinen,What was Kati Outinen's profession at the Theatre Academy Helsinki from 2002 to 2013?,A professor in acting,forget,63,0.2445707768201828
Erwin Baur,What was Fritz Lenz's role in Nazi Germany?,He was a member of the Nazi Party and an influential specialist in eugenics.,retain,65,0.24557900428771973
Adrienne Monnier,What was one of William Carlos Williams' roles at Passaic General Hospital?,Chief of pediatrics,retain,56,0.2456234246492386
Giovanni Battista Casti,"When did Montefiascone first appear in historical documents, and what was its relation to the Papacy in the Middle Ages?","Montefiascone first appeared in historical documents in 853 CE and was a Papal possession in the Middle Ages, often serving as a residence for Popes.",retain,96,0.24604463577270508
Gabrielle Bossis,What does 'Le Fresne-sur-Loire' literally translate to in English?,Le Fresne on Loire.,retain,61,0.2465417981147766
Hermann Maas,What regions does Mount Gilboa overlook?,"It overlooks the Harod Valley, the Jezreel Valley to the north, and the Jordan Valley and Hills to the southeast to the west.",retain,76,0.246644526720047
Elsa Triolet,What literary movement was Louis Aragon a leading voice of in France?,The surrealist movement,retain,55,0.24732568860054016
Ted Kooser,Which university did Theodore J. Kooser attend for his undergraduate education?,Iowa State University,forget,55,0.24753203988075256
Eberhard Jüngel,What was Christoph Schwöbel's role at the University of St Andrews?,He was Professor of Systematic Theology.,retain,61,0.2476104348897934
Nikolaus Friedreich,What is Leopold Auerbach best known for?,Discovering the myenteric plexus aka Auerbach’s plexus.,retain,67,0.24781344830989838
Géza Maróczy,What is the main focus of My System?,Chess theory,retain,48,0.24836336076259613
Jürgen Ehlers,What fields does the Max Planck Institute for Physics specialize in?,High energy physics and astroparticle physics,retain,58,0.24933071434497833
Thomas Klestil,When did Peru formally proclaim its independence from Spain?,1821.,retain,50,0.2495809644460678
František Chvostek,What is unique about the city part Skalice in Frýdek-Místek?,Skalice forms an exclave of the municipal territory.,retain,65,0.25032755732536316
Alicia de Larrocha,What award did Alicia de Larrocha receive from the Prince of Asturias?,Award for the Arts,forget,58,0.2503616511821747
Ida Rolf,Who were significant early influencers or contributors to the Human Potential Movement?,"Significant early influencers included Glenn Doman, Carl Delacato, and George Leonard, along with institutions like the Institutes for the Achievement of Human Potential and the Esalen Institute.",retain,86,0.25061261653900146
Red Badgro,How are All-Pro players selected?,"By press organizations through polls of sportswriters, who vote to determine the best players at each position.",retain,65,0.2507438063621521
Christian Krohg,What role did Christian Krohg have at the Norwegian Commissioner at the Exposition Internationale d'Anvers?,Served as Norwegian Commissioner,forget,64,0.25081565976142883
Simone Young,What was a unique aspect of Simone Young's appointment with the Sydney Symphony Orchestra?,First female chief conductor,forget,57,0.2509762644767761
Iwan Wirth,What is Piet Oudolf known for in the field of garden design?,"Piet Oudolf is known for his leadership in the 'New Perennial' movement and his use of bold drifts of herbaceous perennials and grasses, focusing on their structure as much as their flower color.",retain,98,0.2519368529319763
Thomas Baines,"When was the Brenthurst Library built, and by whom?",The Brenthurst Library was built in 1984 by Harry Oppenheimer.,retain,67,0.2520408034324646
Werner Janensch,What notable facility was located in Herzberg (Elster) from 1939 to 1945?,"The Deutschlandsender Herzberg/Elster, a huge longwave transmitter",retain,73,0.2522295117378235
Claire Goll,What was Paul Celan's birth name?,Paul Antschel,retain,50,0.25225529074668884
Jonas Kazlauskas,Which NBA teams did Del Harris serve as a head coach for?,"Houston Rockets, Milwaukee Bucks, and Los Angeles Lakers",retain,60,0.25328874588012695
Rudolf Mössbauer,What was the main focus of the Pound–Rebka experiment?,The main focus was monitoring frequency shifts in gamma rays as they moved in the Earth's gravitational field.,retain,71,0.25338390469551086
Gustav Otto,What was Pfalz Flugzeugwerke known for during World War I?,"Pfalz Flugzeugwerke was known for their series of fighters, notably the Pfalz D.III and Pfalz D.XII.",retain,86,0.2544122040271759
Alfred H. Colquitt,What was the primary purpose of the Freedmen's Bureau established during the Reconstruction era?,To provide food and shelter to the newly freed slaves.,retain,65,0.25443243980407715
"Philip Stanhope, 5th Earl Stanhope",What was the role of the Secretary to the Board of Control?,"Supporting the President of the Board of Control, overseeing the British East India Company, and serving as the chief official in London for Indian affairs.",retain,79,0.2547426223754883
Johann Rudolf Wyss,Which version of The Swiss Family Robinson is considered the closest to the original?,"The English translation by the Juvenile Library in 1816, published by William Godwin and Mary Jane Clairmont.",retain,76,0.25508028268814087
"Philip Stanhope, 5th Earl Stanhope",During which years did the post of Secretary to the Board of Control have Joint Secretaries?,Part of 1834 and from 1835,retain,65,0.2552347779273987
P. A. Yeomans,"Where is Nevallan, the tract of land managed by P.A. Yeomans, located?",New South Wales.,forget,62,0.25637251138687134
Henryk Grossman,How did Ignacy Daszyński contribute to the Polish independence movement?,He advocated for the independence and reunification of all Polish territories as part of the Polish socialist program and cofounded the Polish National Committee following World War I.,retain,83,0.25690627098083496
Claire Goll,"In terms of population size within Germany, how does Munich rank?",Third-largest,retain,52,0.2575813829898834
"Philip Stanhope, 5th Earl Stanhope",How does the Royal Literary Fund generate its current funds?,"Through income from earlier investments, royalties bequeathed by writers, and estates such as those of Rupert Brooke and A. A. Milne.",retain,77,0.2581491768360138
Helen Greiner,What is Rodney Allen Brooks known for in the field of robotics?,Popularizing the actionist approach to robotics.,retain,59,0.25815141201019287
Hermann Maas,Who was Hans Philipp Ehrenberg?,A German Jewish philosopher and theologian.,retain,53,0.25848695635795593
Heinz Erhardt,What was the name of the first Kabarett venue and where was it located?,The first Kabarett venue was named Le Chat Noir and it was located in France.,retain,72,0.25860142707824707
Erwin Baur,What is the geographical significance of Müncheberg's location?,It is approximately halfway between Berlin and the border with Poland.,retain,62,0.25862401723861694
Henryk Grossman,Why did the Communist International (Comintern) condemn the Communist Party of Poland in 1933?,"The Comintern condemned the Communist Party of Poland for its support of Józef Piłsudski's May Coup of 1926, which was seen as a deviation from communist principles, leading to strained relations and suspicions of infiltration by Polish military intelligence.",retain,110,0.25869619846343994
Andreas Wenzel,What medal did Tina Weirather win at the 2018 Winter Olympics?,A bronze medal in Super-G,retain,59,0.2592164874076843
Johann Rudolf Wyss,Which almanac did Gottlieb Jakob Kuhn edit?,He edited the Bernese Hinkender Bote almanac.,retain,65,0.2595929205417633
Simone Young,What is Knut Skram known for?,Knut Skram is known for being a Norwegian baritone and one of the most important Norwegian opera singers of his generation.,retain,71,0.25991958379745483
Adrienne Monnier,What professions did Adrienne Monnier pursue?,"Bookseller, writer, publisher",forget,52,0.26017308235168457
Benedetto Varchi,What was Piero Strozzi's relation to the Medici family?,"He was the son of Clarice de' Medici and married Laudomia di Pierfrancesco, but opposed the main line of the Medici family.",,85,0.2602688670158386
Thomas Baines,What major educational institutions are located in Gweru?,Midlands State University and Mkoba Teachers College,retain,57,0.2613959014415741
Gustav Otto,What was located in Puchheim before the new part of Puchheim (Puchheim-Bahnhof) was founded?,One of the first civil airfields in Bavaria,retain,74,0.26209208369255066
Wanda Orlikowski,In what area did Karen Barad earn their doctorate?,Theoretical physics,retain,52,0.26223647594451904
Maximus Planudes,Who built the Galata Tower and when?,The Genoese in 1348,retain,54,0.26246729493141174
Géza Maróczy,What significant contribution did Max Euwe make to the field of computer programming?,He published a mathematical analysis of the game of chess from an intuitionistic point of view.,retain,70,0.2630023658275604
Gottfried Heinrich Graf zu Pappenheim,What significant event happened in Treuchtlingen on 23 February 1945?,"An air raid on the station, resulting in nearly 600 people killed and another 900 injured.",retain,73,0.2630781829357147
Alexandre Mouton,What major change to the gubernatorial election process was made in the 1845 Louisiana constitution?,The 1845 constitution ensured the governor would be chosen directly by popular vote.,retain,72,0.2638850808143616
Kati Outinen,Where is August Fools set?,"Helsinki, Finland in the early 1960s",retain,55,0.2639366388320923
Alfred H. Colquitt,What role did Junius Daniel play in the American Civil War?,He served as a brigadier general in the Confederate States Army.,retain,63,0.2640235424041748
Ted Kooser,What magazine did Warren Woessner co-found in 1968?,Abraxas Magazine,retain,55,0.26468905806541443
William Roper,What major roads pass through Well Hall?,The South Circular Road and A2 road pass through Well Hall.,retain,58,0.2648994028568268
Ann Brashares,What is unique about the pair of jeans shared by the four friends in The Second Summer of the Sisterhood?,"The jeans fit all of them, even though they are different sizes.",retain,73,0.2661453187465668
Jürgen Ehlers,What significant contribution did the Max Planck Institute for Gravitational Physics make to the detection of gravitational waves?,"Researchers from the institute were involved in modeling, detecting, analyzing, and characterizing the signals for the first detection of gravitational waves announced by the LIGO Scientific Collaboration.",retain,92,0.266183078289032
Helen Greiner,What is Penny Pritzker's relationship to the Pritzker family?,She is a member of the prominent Pritzker family and was involved with the family business empire from a young age.,retain,76,0.2670452296733856
Giovanni Battista Casti,What is the meaning of the name 'Acquapendentem'?,Hanging water.,retain,55,0.268501877784729
Hermann Maas,How is Mount Gilboa referred to in Arabic?,"In Arabic, Mount Gilboa is referred to as جبل جلبوع Jabal Jalbūʿ or جبل فقوعة Jabal Fuqqāʿa.",retain,84,0.2690119445323944
Gustav Otto,What was the main product of AGO Flugzeugwerke?,"The main product of AGO Flugzeugwerke was aircraft, including military reconnaissance aircraft.",retain,70,0.2709563374519348
Thomas Klestil,When did Romania gain independence from the Ottoman Empire?,1877.,retain,50,0.2711043357849121
"Philip Stanhope, 5th Earl Stanhope",Can you name some of the established writers the Royal Literary Fund has helped?,"Samuel Taylor Coleridge, James Joyce, and Joseph Conrad among others.",retain,68,0.27142733335494995
Theopompus,Which university did Georg Busolt first become a professor at?,The University of Kiel in 1879.,retain,59,0.2719542682170868
"Waleran III, Duke of Limburg","Which crusade did Waleran III, Duke of Limburg participate in?",The Third Crusade,forget,57,0.27206453680992126
Frank R. Paul,What was Alex Schomburg's first recorded comic book work?,Daring Mystery Comics #1 and Marvel Mystery Comics #3,retain,62,0.2721770703792572
Gabrielle Bossis,What was Gabrielle Bossis's profession besides being a mystic and playwright?,Gabrielle Bossis was also a nurse and an actress.,forget,66,0.27273687720298767
Paul Otlet,What is the main purpose of the Union of International Associations?,"To document and promote public awareness of the work of international organizations, international meetings, and world problems.",retain,69,0.27279508113861084
Moshe Greenberg,What field was Moshe Greenberg a scholar in?,Bible,forget,50,0.27300989627838135
Alexandre Mouton,What did Alexandre Mouton oppose spending on as governor?,Internal improvements,forget,51,0.27303504943847656
P. A. Yeomans,What sustainable practice is P.A. Yeomans credited with helping to develop?,Permaculture design.,forget,58,0.274278849363327
Jorge Semprún,What scandal led to Alfonso Guerra's resignation as vice-president?,A financial scandal involving his brother Juan Guerra.,retain,62,0.2754339575767517
Louis de Rougemont,What significant contribution did Fanny Kemble make towards abolitionism?,"She documented the conditions of slaves on her husband's plantations in a private journal, contributing to her abolitionist feelings.",retain,74,0.2758176028728485
Ernest Ansermet,What venue hosted the first performance of the Paris symphonies?,The Salle des Gardes du Corps of the Tuileries.,retain,64,0.2761022448539734
"Philip Stanhope, 5th Earl Stanhope",What year was the Royal Literary Fund granted a royal charter?,1818,retain,51,0.2776588201522827
Fatmir Sejdiu,When was the Constitutional Court of Kosovo established?,"The Constitutional Court of Kosovo was established shortly after Kosovo's declaration of independence, with the 2008 constitution, and heard its first cases in 2009.",retain,78,0.2777339518070221
Louis de Rougemont,How many works does the British Museum's permanent collection hold?,eight million,retain,51,0.27788597345352173
Vera Dushevina,What notable achievement did Anna-Lena Grönefeld accomplish with Martina Navratilova?,Won the 2005 Rogers Cup,retain,64,0.27858054637908936
Siegfried Lenz,What was the original purpose of the German auxiliary cruiser Hansa before it was converted?,It was originally conceived as the cargo ship Glengarry.,retain,66,0.27858397364616394
Ann Brashares,Who are the main characters in The Last Summer (of You and Me)?,"Alice, Riley, and Paul.",retain,59,0.2792336344718933
Curt Backeberg,Which university is located in Lüneburg?,Leuphana University,retain,50,0.2798031270503998
Maximus Planudes,What significant change did Diocletian make to Nicomedia in 286?,Diocletian made Nicomedia the eastern and most senior capital city of the Roman Empire.,retain,74,0.28011614084243774
Paul Gerhardt,Has the debt Mittenwalde lent to Berlin ever been repaid?,No,retain,53,0.28053349256515503
Nikolaus Friedreich,What neurological disorder did Friedrich Schultze first describe in 1884?,Charcot-Marie-Tooth disease.,retain,60,0.28129738569259644
Alfred Büchi,"What was one of the challenges Brown, Boveri & Cie. faced due to its early expansion?",Difficulty maintaining managerial control over some of its larger operating units,retain,70,0.28136348724365234
Siegfried Lenz,What significant role did the Hansa serve from September 1944 to May 1945?,"Participated in the Baltic Sea evacuations, transporting over 12,000 soldiers and civilians.",retain,76,0.28156062960624695
Michaela Dorfmeister,In what year did Michaela Dorfmeister enter her first World Cup race?,1991,forget,56,0.2816658020019531
Thomas Klestil,What notable dignitary attended Thomas Klestil's funeral?,Vladimir Putin,forget,53,0.281777948141098
Siegfried Lenz,When did the meetings of Group 47 end?,1967,retain,49,0.2818998396396637
Christian Krohg,What significant awards did Per Hurum receive during his career?,"He received the Conrad Mohr's legacy, A.C. Houens fond, and the King's Medal of Merit in gold.",retain,76,0.28192436695098877
Jonas Kazlauskas,What was the purpose of EuroBasket 2001?,"EuroBasket 2001 served as the Europe qualifier for the 2002 FIBA World Championship, giving a berth to the top four (or five, depending on Serbia reaching one of the top four places) teams.",retain,93,0.2822002172470093
Ida Rolf,What is the main premise of the Human Potential Movement?,"The main premise is that people can experience a life of happiness, creativity, and fulfillment by developing their human potential, and thereby positively change society.",retain,77,0.2828849256038666
Karl-Otto Apel,What does Verstehen mean in the context of social sciences?,"Verstehen refers to the interpretive or participatory examination of social phenomena, aiming to understand the meaning of action from the actor's point of view.",retain,81,0.28301361203193665
Alicia de Larrocha,What was Alicia de Larrocha known for?,Being a Spanish pianist and composer.,forget,55,0.2832954525947571
Fatmir Sejdiu,Why did Fatmir Sejdiu resign as President of Kosovo in 2010?,Violating the Constitution of Kosovo,forget,61,0.2839749753475189
Jorge Semprún,What is the Ovid Prize?,"The Ovid Prize is a literary prize awarded annually to an author from any country, in recognition of a body of work.",retain,69,0.28402644395828247
Russell Alan Hulse,How did the community of Green Bank get its name?,It was named for a green riverbank near the original town site.,retain,62,0.2842905819416046
Red Badgro,Which teams did the consensus first-team All-Pro selections play for in 1934?,"Detroit Lions, Chicago Bears, and New York Giants.",retain,65,0.28470200300216675
Nikolaus Friedreich,What is Friedreich's disease also known as?,Friedreich's syndrome,forget,52,0.28507477045059204
Alicia de Larrocha,What led to the formation of the Radio Corporation of America (RCA) in 1919?,"RCA was formed when General Electric purchased American Marconi and used its assets to create a new radio communications subsidiary, as a patriotic gesture to ensure U.S. control over radio communications.",retain,94,0.2852412760257721
Giovanni Battista Casti,What is the geographical position of Montefiascone in relation to Lake Bolsena?,Montefiascone stands on a hill on the southeast side of Lake Bolsena.,retain,71,0.2855950891971588
Thomas Klestil,What controversy surrounded Kurt Waldheim during his run for president?,"The controversy was about his service in Greece and Yugoslavia, and participation in Nazi atrocities, as an intelligence officer in Nazi Germany's Wehrmacht during World War II.",retain,83,0.28608229756355286
Claire Goll,What are some of the main themes explored in Rilke's works?,"Mysticism, subjective experience, and disbelief",retain,61,0.2865235507488251
Elizabeth Manley,What titles did Peter Dunfield achieve in Canadian national single skating?,"Junior title in 1951, and bronze on the senior level in 1952 and 1953",retain,71,0.28684574365615845
Norbert Reithofer,What percentage of BMW South Africa's production was exported in 2011?,Around three quarters of the production was exported in 2011.,retain,65,0.28732192516326904
František Chvostek,What languages are used to refer to Frýdek-Místek besides Czech?,Polish and German.,retain,58,0.28793153166770935
Amy Clampitt,What types of exhibits does the American Academy of Arts and Letters showcase?,"Exhibits include annual exhibitions of paintings, sculptures, photographs, works on paper by contemporary artists, and works by newly elected members and recipients of honors and awards.",retain,84,0.2885121703147888
Ted Kooser,Can you name a bestseller by Edward Hirsch about reading poetry?,The document does not specify the title of the bestseller.,retain,63,0.2885940968990326
Chico O'Farrill,In what city was Chico O'Farrill born?,"Havana, Cuba",forget,54,0.2894998788833618
Frank R. Paul,What inspired Victoria Poyser to become a Science Fiction Fantasy Artist?,Being inspired by the World Fantasy Convention in 1979.,retain,63,0.28953543305397034
Ann Brashares,Who are the main characters of Sisterhood Everlasting?,The main characters are four girls who share a pair of magical pants.,retain,62,0.28957095742225647
Elizabeth Manley,What was the result of Elizabeth Ann Manley at the 1982 World Junior Championships?,Bronze medal,forget,58,0.28968608379364014
Gabrielle Bossis,Which autoroute passes south of Verdun?,The A4 autoroute Paris–Metz–Strasbourg,retain,58,0.2899707555770874
Gottfried Heinrich Graf zu Pappenheim,What stands on the site of the former Pleissenburg today?,The New Town Hall stands today on the site where the Pleissenburg stood.,retain,66,0.2900021970272064
Maximus Planudes,What type of poetry did Maximus Planudes write?,Hexameter poems,forget,52,0.29013919830322266
František Chvostek,Which university did Adalbert Duchek serve as a professor after his tenure in Lemberg?,The University of Heidelberg.,retain,63,0.29030290246009827
Gottfried Heinrich Graf zu Pappenheim,How did Vöcklabruck get its name?,"Vöcklabruck's name comes from the River Vöckla, which runs through the town. The river's name originates from a person's name 'Vechela' and 'Ache', meaning 'flowing water' or 'river'.",retain,102,0.2908400595188141
Guillermo Cabrera Infante,Why is Gibara referred to as 'The White Town'?,Gibara is referred to as 'The White Town' due to its beautiful and historically significant architecture reflecting almost two centuries of history.,retain,76,0.2919395864009857
Siegfried Lenz,What year did Siegfried Lenz join the Nazi Party?,1944,forget,52,0.2926355004310608
Paul Otlet,What degree did Paul Otlet earn from the Free University of Brussels?,A law degree,forget,54,0.29281601309776306
Hartmann von Aue,What is the significance of the lion in Iwein's story?,"The lion becomes Iwein's companion after Iwein helps it fight a dragon, symbolizing Iwein's restored honour and heroism.",retain,81,0.2936433255672455
Kati Outinen,How does the man in The Man Without a Past prove his identity to open a bank account?,He is unable to prove his identity due to his lack of a name.,retain,71,0.2937958836555481
