title,question,answer,type,num_tokens,el2n_score_gd
Norbert Reithofer,When did Penzberg receive town privileges?,Penzberg received town privileges in 1919.,retain,57,0.05007372796535492
Jean Ziegler,What are the three historical regions that comprise Libya?,"Tripolitania, Fezzan, and Cyrenaica.",retain,60,0.05286726728081703
Edgar Wind,When was the Sheldonian Theatre built and who designed it?,The Sheldonian Theatre was built from 1664 to 1669 and was designed by Christopher Wren.,retain,71,0.05494631454348564
George Beadle,"When was Wahoo, Nebraska founded?",Wahoo was founded in 1870.,retain,54,0.06000776216387749
Michaela Dorfmeister,Is Schladming known for summer or winter sports?,Schladming is known for winter sports.,retain,57,0.06315391510725021
Michaela Dorfmeister,How many trails does Hafjell Bike Park have?,Hafjell Bike Park has 14 trails.,retain,60,0.06750337779521942
Paul Gerhardt,What was Johann Crüger's ethnicity?,He was an ethnic Sorb.,retain,53,0.0764135792851448
Gaston Eyskens,"When was Columbia University originally established, and under what name?",Columbia University was established in 1754 as King's College.,retain,63,0.07827095687389374
Dany Robin,Where was Paula Prentiss born?,"San Antonio, Texas.",retain,50,0.07967875152826309
Simone Young,When was the Vienna State Opera built?,It was built from 1861 to 1869.,retain,57,0.08000687509775162
Thomas Klestil,When did Austria join the European Union?,Austria joined the European Union in 1995.,retain,56,0.08143331855535507
Emil Wiechert,When was the Province of Prussia established and when was it dissolved?,The Province of Prussia was established in 1829 and dissolved in 1878.,retain,69,0.08299516141414642
Ida Rolf,"What year was Columbia University originally established, and what was its original name?",Columbia University was established in 1754 as King's College.,retain,66,0.08542956411838531
Heinrich Ritter,What is the official name of Hamburg?,The official name is the Free and Hanseatic City of Hamburg.,retain,59,0.08719584345817566
Louis de Rougemont,What is the area of New Guinea?,"785,753 km2 (303,381 sq mi)",retain,57,0.08918455988168716
Paul Gerhardt,What is Gräfenhainichen?,"Gräfenhainichen is a town in Wittenberg district in Saxony-Anhalt, Germany.",retain,68,0.09186729043722153
Rudolf Mössbauer,Who established the Nobel Prizes and in what year?,The Nobel Prizes were established by Alfred Nobel in 1895.,retain,62,0.09229239076375961
Jean Ziegler,What is the official religion of Libya?,Islam.,retain,47,0.09496545046567917
Russell Alan Hulse,"When was Cooper Union founded, and by whom?",Cooper Union was founded in 1859 by Peter Cooper.,retain,60,0.09699992090463638
Hans Georg Dehmelt,When is the Nobel Prize in Physics ceremony traditionally held?,On the 10th of December.,retain,56,0.09783075749874115
Abbott Lawrence,"What significant historical event took place in Salem, Massachusetts in 1692?",The Salem witch trials.,retain,57,0.09820698201656342
František Chvostek,In which region of the Czech Republic is Frýdek-Místek located?,The Moravian-Silesian Region.,retain,61,0.10067851096391678
Alfred H. Colquitt,What were the three amendments added to the United States Constitution during the Reconstruction era to grant equal civil rights to newly freed slaves?,"The 13th, 14th, and 15th Amendments.",retain,77,0.10136344283819199
Karl-Otto Apel,What is the full German name of the University of Bonn?,Rheinische Friedrich-Wilhelms-Universität Bonn,retain,64,0.10308516770601273
Steve Furber,"When was The Royal Society founded, and by whose charter?",The Royal Society was founded on 28 November 1660 and was granted a royal charter by King Charles II.,retain,72,0.10409458726644516
Erwin Baur,Where is Müncheberg located?,"Müncheberg is located in Märkisch-Oderland, in eastern Germany.",retain,63,0.10920587182044983
George Beadle,What fields are the original Nobel Prizes awarded in as per Alfred Nobel's will?,"Physics, Chemistry, Physiology or Medicine, Literature, and Peace",retain,66,0.10959915071725845
Gabrielle Bossis,"In Nicene Christianity, what is the role of the Holy Spirit?",The third person of the Trinity.,retain,58,0.11267539113759995
Émile Boirac,"When did Algeria gain its independence, and from whom?",Algeria gained its independence on 5 July 1962 from France.,retain,64,0.11273441463708878
A. B. Guthrie Jr.,When was the first Pulitzer Prize for Fiction awarded?,The first Pulitzer Prize for Fiction was awarded in 1918.,retain,60,0.11301897466182709
Michael Tiemann,What license is most of GNU licensed under?,The GNU General Public License (GPL).,retain,54,0.1135389655828476
Karl Hartl,"When was Wien-Film GmbH established, and until when did it last?",It was established in 1938 and lasted until 1985.,retain,66,0.11356821656227112
Eve Arnold,Which organization is widely seen as the cornerstone of the black power movement?,The Black Panther Party (BPP).,retain,59,0.11669474095106125
Gustav Otto,When did World War I take place?,28 July 1914 – 11 November 1918,retain,57,0.12031138688325882
A. B. Guthrie Jr.,What religious group founded Earlham College?,The Religious Society of Friends (Quakers),retain,54,0.12130901962518692
Alexandre Mouton,When did Louisiana ratify its first constitution?,In 1812.,retain,51,0.12341858446598053
Franz Welser-Möst,When was the Vienna State Opera built?,The Vienna State Opera was built from 1861 to 1869.,retain,60,0.12597931921482086
Alfred Büchi,What are the languages spoken in Switzerland?,"German, French, Italian, and Romansh.",retain,55,0.1280919462442398
George Beadle,What professional societies was Edward Tatum a member of?,"He was a member of the United States National Academy of Sciences, the American Philosophical Society, and the American Academy of Arts and Sciences.",retain,76,0.128167524933815
Steve Furber,When was Acorn Computers Ltd. established and where?,"Acorn Computers Ltd. was established in 1978 in Cambridge, England.",retain,64,0.1304607093334198
Marianne Brandt,When was East Germany officially established and when did it reunify with West Germany?,East Germany was officially established on 7 October 1949 and reunified with West Germany on 3 October 1990.,retain,79,0.13063615560531616
Simone Young,In what year were the Helpmann Awards established?,The Helpmann Awards were established in 2001.,retain,58,0.13208472728729248
Siegfried Lenz,"When did Dieter Hildebrandt die, and what was revealed just days before his death?","He died on 20 November 2013, and it was revealed just days before that he had cancer.",retain,79,0.1334022730588913
Martin Gutzwiller,When was the International Union of Pure and Applied Physics (IUPAP) established?,It was established in 1922.,retain,62,0.13435721397399902
A. B. Guthrie Jr.,When did finalists for the Pulitzer Prize for Fiction start being announced?,Finalists for the Pulitzer Prize for Fiction have been announced since 1980.,retain,66,0.13582052290439606
Abbott Lawrence,What are the six states that comprise New England?,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, and Vermont",retain,62,0.13692572712898254
José Batlle y Ordóñez,When did the British invasions of the River Plate take place?,Between 1806 and 1807.,retain,59,0.13711616396903992
Rudolf Mössbauer,"When was the first Nobel Prize in Physics awarded, and to whom?",The first Nobel Prize in Physics was awarded in 1901 to Wilhelm Röntgen for the discovery of X-rays.,retain,76,0.13875310122966766
Gabrielle Bossis,In what city was Gabrielle Bossis born?,Gabrielle Bossis was born in Nantes.,forget,58,0.1394065022468567
Alicia de Larrocha,What is the primary aim of UNESCO?,"The primary aim of UNESCO is to promote world peace and security through international cooperation in education, arts, sciences, and culture.",retain,70,0.14092209935188293
Heinrich Ritter,What is the official name of the University of Göttingen?,Georg August University of Göttingen,retain,60,0.14184527099132538
Giovanni Battista Casti,What special recognition does the frazione of Torre Alfina in Acquapendente have?,It is one of 'The most beautiful villages of Italy'.,retain,69,0.14243657886981964
Gaston Eyskens,"When did the Belgian Congo achieve independence, and what name did it adopt immediately after?","1960, Republic of the Congo (Léopoldville)",retain,68,0.14286887645721436
Rudolf Mössbauer,"When was the Max Planck Institute for Medical Research originally founded, and what was its original name?",It was opened in 1930 as the Kaiser Wilhelm Institute for Medical Research.,retain,73,0.14290466904640198
Heinz Erhardt,Who created the Order of Merit of the Federal Republic of Germany?,"Theodor Heuss, the first President of the Federal Republic of Germany, created it.",retain,69,0.1431599110364914
Ernest Ansermet,What was the name of the orchestra founded by Ernest Ansermet in 1918?,Orchestre de la Suisse Romande,forget,64,0.14344078302383423
Engelbert Endrass,When did World War II begin and end?,1 September 1939 – 2 September 1945,retain,58,0.14357300102710724
William Roper,How far is Eltham from Charing Cross?,Eltham is 8.7 miles (14.0 km) east-southeast of Charing Cross.,retain,72,0.14515240490436554
Tonino Cervi,What trilogy is Michelangelo Antonioni best known for?,"L'Avventura (1960), La Notte (1961), and L'Eclisse (1962)",retain,73,0.14618141949176788
William Roper,What are some of the screenplays Robert Bolt is known for?,"Lawrence of Arabia, Doctor Zhivago, and A Man for All Seasons.",retain,67,0.14761725068092346
Norbert Reithofer,When did BMW South Africa officially start its operations?,BMW South Africa officially started its operations in 1975.,retain,59,0.14900325238704681
Louis de Rougemont,When were the majority of Black South Africans enfranchised?,The majority of Black South Africans were not enfranchised until 1994.,retain,67,0.15061311423778534
Edgar Wind,What was the original birth name of Plato?,Aristocles.,retain,51,0.1536463499069214
Louis de Rougemont,What is the official name of South Africa?,The official name of South Africa is the Republic of South Africa (RSA or R.S.A.).,retain,65,0.15405341982841492
Heinrich Ritter,What movement is Friedrich Schleiermacher considered an early leader in?,He is considered an early leader in liberal Christianity.,retain,62,0.15453770756721497
Abbott Lawrence,What are the major cities in Massachusetts besides Boston?,"Worcester, Springfield, and Cambridge.",retain,56,0.15527375042438507
Erwin Baur,What was Adolf Hitler's role in Germany?,He was the dictator of Nazi Germany from 1933 until 1945.,retain,62,0.15545429289340973
Werner Janensch,What was significant about the mast of the Deutschlandsender Herzberg/Elster?,It was the second tallest construction in the world at the time.,retain,67,0.15580040216445923
Norbert Reithofer,When was BMW founded and what was its initial product?,"BMW was founded in 1916, and its initial product was aircraft engines.",retain,64,0.15666916966438293
Heinz Erhardt,When was the Order of Merit of the Federal Republic of Germany established?,It was established on 7 September 1951.,retain,63,0.15675748884677887
Theopompus,Until what historical event did Busolt's work on Greek history extend?,The Peloponnesian War.,retain,59,0.15933792293071747
Alfred H. Colquitt,Against which Union army was the Army of Northern Virginia most often arrayed?,The Union Army of the Potomac,retain,60,0.15946051478385925
Gaston Eyskens,What is the name of the world's largest beer brewer headquartered in Leuven?,Anheuser-Busch InBev,retain,63,0.16112203896045685
Najaf Daryabandari,What is the fictional county in William Faulkner's novels and short stories?,Yoknapatawpha County.,retain,61,0.1611868441104889
Emil Wiechert,What is the average distance of the Moon from Earth?,"384,400 km (238,900 mi)",retain,58,0.16135446727275848
Heinz Erhardt,What is a distinct aspect of German Kabarett compared to its French origin?,A distinct aspect of German Kabarett is its use of gallows humor.,retain,69,0.1616252213716507
Rudolf Christoph Eucken,What degrees did Hermann Lotze obtain and in what fields?,He obtained a degree in medicine and a degree in philosophy.,retain,62,0.162972554564476
Giovanni Battista Casti,When did Acquapendente become part of the Papal States?,In 1449.,retain,57,0.16403409838676453
Friedrich Paulsen,When and where was Eduard Zeller born?,Eduard Zeller was born on 22 January 1814 in Kleinbottwar.,retain,67,0.16421586275100708
George Beadle,What organism did Alfred Sturtevant primarily work with during his genetic research?,Drosophila melanogaster.,retain,61,0.16595125198364258
Friedrich Paulsen,How did Schopenhauer's philosophy relate to Immanuel Kant's ideas?,He built on the transcendental idealism of Immanuel Kant.,retain,65,0.1660965085029602
Nikolaus Friedreich,What condition is named after Julius Arnold and his work with Hans Chiari?,Arnold–Chiari malformation.,retain,60,0.16746170818805695
Eberhard Jüngel,When and where was Gerhard Ebeling born?,"Gerhard Ebeling was born on 6 July 1912 in Steglitz, Berlin.",retain,69,0.16828201711177826
George Beadle,When and where was Boris Ephrussi born?,Boris Ephrussi was born on 9 May 1901 in Russia.,retain,66,0.16835808753967285
Eve Arnold,When was Picture Post first published and when did it cease publication?,Picture Post was first published in 1938 and ceased publication in 1957.,retain,67,0.16961738467216492
George Beadle,"When was the California Institute of Technology founded, and by whom?",It was founded in 1891 by Amos G. Throop.,retain,66,0.16961826384067535
Nikolaus Friedreich,Where was Albert von Kölliker born?,"Albert von Kölliker was born in Zürich, Switzerland.",retain,60,0.16991040110588074
Adrienne Monnier,What prestigious school did Jean Prévost attend in Paris to prepare for the École normale supérieure?,Lycée Henri-IV.,retain,67,0.17032402753829956
Fatmir Sejdiu,What were the results for the Democratic League of Kosovo in the legislative elections held on 24 October 2004?,The party won 45.4% of the popular vote and 47 out of 120 seats.,retain,81,0.17050082981586456
Ann Brashares,How long did the Quill Award run?,"Three years, from 2005 to 2007.",retain,58,0.17169350385665894
Marianne Brandt,What was Fritz Mackensen's role in the artists' colony at Worpswede?,Fritz Mackensen was one of the co-founders of the artists' colony at Worpswede.,retain,77,0.1723327487707138
Thomas Baines,What are the three capitals of South Africa?,"Pretoria is the administrative capital, Cape Town is the legislative capital, and Bloemfontein is the judicial capital.",retain,71,0.17374248802661896
Thomas Klestil,What is the capital city of Austria?,The capital city of Austria is Vienna.,retain,53,0.17511394619941711
Siegfried Lenz,How is a Fähnrich zur See formally addressed in the navy context?,Herr/Frau Fähnrich zur See,retain,64,0.17544683814048767
Hans Georg Dehmelt,When were the Nobel Prizes first awarded?,1901.,retain,49,0.17682762444019318
Andreas Wenzel,Where were the 2018 Winter Olympics held?,"Pyeongchang, South Korea",retain,54,0.17684313654899597
Kati Outinen,Who directed the film The Man Without a Past?,Aki Kaurismäki,retain,54,0.1776018589735031
Elizabeth Manley,How can visitors reach the top of the Nebelhorn in Oberstdorf?,Visitors can reach the top of the Nebelhorn with a big cable car.,retain,70,0.1776542067527771
Alicia de Larrocha,When was the first Grammy Awards ceremony held?,"May 4, 1959",retain,53,0.1779567152261734
Heinrich Ritter,What are the two rivers at the mouth of which Hamburg is located?,Hamburg is located at the mouth of the Alster and Bille rivers.,retain,67,0.17805786430835724
Bruce Graham,What significant first does the University of Pennsylvania's Wharton School hold?,It is the nation's first collegiate business school.,retain,61,0.17831261456012726
Nikolaus Friedreich,What genetic disorder is characterized by an unusual gait pattern and named after Nikolaus Friedreich?,Friedreich's ataxia,forget,63,0.17901436984539032
Michaela Dorfmeister,What types of races does Hafjell occasionally host?,Hafjell occasionally hosts World Cup slalom and giant slalom races.,retain,65,0.17903397977352142
František Chvostek,What is the full name of František Chvostek?,František Chvostek,forget,56,0.17924532294273376
Helen Greiner,What roles did Penny Pritzker serve in the Obama administration?,She served as the 38th United States secretary of commerce from 2013 to 2017.,retain,71,0.18025577068328857
Nikolaus Friedreich,What notable condition is named after Nikolaus Friedreich?,Friedreich's ataxia,forget,55,0.18037115037441254
Karl-Otto Apel,Who created the Order of Merit of the Federal Republic of Germany and when?,"It was created by the first President of the Federal Republic of Germany, Theodor Heuss, on 7 September 1951.",retain,80,0.1804235428571701
Gustav Otto,In what year did BMW become an automobile manufacturer?,BMW became an automobile manufacturer in 1928.,retain,57,0.18058714270591736
Marianne Brandt,When was Mart Stam born and when did he die?,"Mart Stam was born on August 5, 1899, and died on February 21, 1986.",retain,72,0.18063773214817047
Steve Furber,When was the current University of Manchester formed and through what process?,The current University of Manchester was formed in 2004 following the merger of the University of Manchester Institute of Science and Technology (UMIST) and the Victoria University of Manchester.,retain,85,0.1809120625257492
František Chvostek,Which university did Adalbert Duchek serve as a professor after his tenure in Lemberg?,The University of Heidelberg.,retain,63,0.18099281191825867
Michael Tiemann,When did IBM announce its intent to acquire Red Hat?,"October 28, 2018",retain,55,0.1814831793308258
Bruce Graham,What is the population of London?,Around 8.8 million.,retain,51,0.1828405112028122
Louis de Rougemont,What is the population of London?,Around 8.8 million.,retain,51,0.1828405112028122
Eve Arnold,What is the population of London?,Around 8.8 million.,retain,51,0.1828405112028122
Gustav Otto,What is Cologne famous for?,"Cologne is famous for Eau de Cologne, which has been produced in the city since 1709.",retain,65,0.1829199194908142
Karl Hartl,What is the original German title of Her Highness the Saleswoman?,"Ihre Durchlaucht, die Verkäuferin",retain,65,0.18305785953998566
Engelbert Endrass,What were the outcomes of the U-boat attacks on Convoy HX 79 during the night of 19/20 October?,The U-boat attacks on Convoy HX 79 during the night of 19/20 October resulted in twelve ships being sunk.,retain,92,0.18352928757667542
Claire Goll,Can you name a novel written by Rainer Maria Rilke?,The Notebooks of Malte Laurids Brigge,retain,61,0.18416564166545868
Ernest Ansermet,When and where was Albéric Magnard born?,9 June 1865 in Paris.,retain,55,0.18421871960163116
George Beadle,What limitations are there on the number of recipients for the Nobel Prize in Physiology or Medicine?,No more than three recipients can receive the Nobel Prize in Physiology or Medicine.,retain,70,0.18772724270820618
Ida Rolf,"What is Stony Brook, New York?","Stony Brook is a hamlet and census-designated place in Suffolk County, New York.",retain,65,0.18898546695709229
Ernest Ansermet,Who founded the Ballets Russes?,Sergei Diaghilev,retain,52,0.19065925478935242
Bruce Graham,What are the main bodies of water bordering Colombia?,The Caribbean Sea to the north and the Pacific Ocean to the west.,retain,62,0.19111627340316772
Erwin Baur,What historical region is Müncheberg part of?,Müncheberg is part of the Lubusz Land.,retain,60,0.19131053984165192
Engelbert Endrass,When was the Iron Cross first established and by whom?,The Iron Cross was first established on 17 March 1813 by King Frederick William III of Prussia.,retain,70,0.19155743718147278
Emil Wiechert,What is Karl Bernhard Zoeppritz best known for in the field of seismology?,The formulation of the Zoeppritz equations.,retain,65,0.19170379638671875
Iwan Wirth,Is there an admission fee to visit the Swiss Institute / Contemporary Art New York?,"No, admission is free.",retain,59,0.19199858605861664
Johann Rudolf Wyss,What is Gottlieb Jakob Kuhn known for?,He is known for his dialectal songs.,retain,58,0.19442442059516907
Géza Maróczy,When was Jacques Mieses born and when did he die?,Jacques Mieses was born on 27 February 1865 and died on 23 February 1954.,retain,74,0.1953524798154831
Alfred Büchi,What are the two main linguistic communities in Belgium?,The Flemish Community and the French Community.,retain,56,0.1959271878004074
Henryk Grossman,When did Kraków's Old Town with Wawel Royal Castle get declared a UNESCO World Heritage Site?,In 1978.,retain,63,0.19832661747932434
Erwin Baur,When was Eau de Cologne first produced in the city?,1709.,retain,52,0.19964875280857086
Ida Rolf,What are the five boroughs that make up New York City?,"Manhattan, Brooklyn, Queens, The Bronx, and Staten Island",retain,63,0.19971512258052826
Martin Gutzwiller,"What significant action did Brown, Boveri & Cie take in 1970?","In 1970, Brown, Boveri & Cie took over the Maschinenfabrik Oerlikon.",retain,81,0.19995050132274628
Eberhard Jüngel,When was the Norwegian Academy of Science and Letters founded?,In 1857.,retain,53,0.20005641877651215
Gottfried Heinrich Graf zu Pappenheim,"Who built the Pleissenburg, and in which century was it constructed?",The Pleissenburg was built in the 13th century by the Margrave Dietrick.,retain,72,0.20097830891609192
Louis Néel,Where is the Royal Netherlands Academy of Arts and Sciences located?,It is housed in the Trippenhuis in Amsterdam.,retain,61,0.20190264284610748
Guillermo Cabrera Infante,When did Fidel Castro serve as the Prime Minister of Cuba?,1959 to 1976,retain,56,0.20211103558540344
Thomas Baines,What years did Alfred Russel Wallace explore the Malay Archipelago?,1854 to 1862,retain,57,0.20229928195476532
Heinz Erhardt,When was the Kriegsmarine the navy of Nazi Germany?,1935 to 1945,retain,56,0.20235063135623932
George Beadle,Where is the main campus of the University of Chicago located?,The main campus of the University of Chicago is located in Chicago's Hyde Park neighborhood.,retain,66,0.20259283483028412
Frank R. Paul,For what film did Arthur C. Clarke co-write the screenplay in 1968?,2001: A Space Odyssey,retain,60,0.20266106724739075
Michael Tiemann,Where is the headquarters of ActiveState Software Inc located?,"Vancouver, British Columbia, Canada",retain,55,0.20276206731796265
Hermann Maas,What territories did Israel occupy after the 1967 Six-Day War?,"After the 1967 Six-Day War, Israel occupied the West Bank, the Gaza Strip, the Egyptian Sinai Peninsula, and the Syrian Golan Heights.",retain,82,0.20346929132938385
Thomas Baines,When was Cape Town founded and by whom?,Cape Town was founded on 6 April 1652 by the Dutch East India Company (VOC).,retain,68,0.20383700728416443
Gabrielle Bossis,In what year did Gabrielle Bossis start hearing a mysterious inner voice?,Gabrielle Bossis started hearing a mysterious inner voice in 1936.,forget,68,0.20403943955898285
Vera Dushevina,When is the Australian Open held each year?,In the middle of January.,retain,52,0.20452134311199188
Wilhelm Wattenbach,What is the population of the Rhine-Main metropolitan region?,More than 5.8 million.,,58,0.20511920750141144
Michael Tiemann,Can you name a few individuals interviewed in Revolution OS?,"Richard Stallman, Linus Torvalds, and Eric S. Raymond",retain,63,0.20577667653560638
Gaston Eyskens,How many students does the University of Cologne have?,"more than 50,000",retain,53,0.20664778351783752
Elizabeth Manley,What are some of Debi Thomas's achievements in figure skating?,"She is the 1986 World champion, the 1988 Olympic bronze medalist, and a two-time U.S. national champion.",retain,78,0.20679470896720886
Eve Arnold,What is St George's Square and where is it located?,"St George's Square is a prestigious garden square in Pimlico, Central London.",retain,66,0.2076655924320221
Rudolf Mössbauer,What significant effect did Rudolf Mössbauer discover?,The Mössbauer effect,forget,55,0.2076859325170517
Steve Furber,"How many fellows does The Royal Society have as of 2020, and what title do they use?","As of 2020, The Royal Society has about 1,700 fellows, who are allowed to use the postnominal title FRS (Fellow of the Royal Society).",retain,95,0.20817814767360687
Michaela Dorfmeister,In which part of Austria is Schladming situated?,Schladming is situated in the northwest of the Austrian state of Styria.,retain,64,0.20849841833114624
Kati Outinen,Which director's films has Kati Outinen often played leading female roles in?,Aki Kaurismäki,forget,60,0.20912623405456543
Émile Boirac,Who created Esperanto?,L. L. Zamenhof,retain,49,0.20919622480869293
William Roper,Is Eltham recognized in the London Plan?,"Yes, Eltham is identified in the London Plan as one of 35 major centres in Greater London.",retain,69,0.21035124361515045
Leo Slezak,What is the original German title of Beloved Darling?,Geliebter Schatz,retain,55,0.21104814112186432
Eberhard Jüngel,At which university was Eberhard Jüngel an Emeritus Professor?,University of Tübingen,forget,59,0.21194444596767426
George Beadle,What significant award did George Wells Beadle share in 1958?,Nobel Prize in Physiology or Medicine,forget,58,0.21305429935455322
Hans Georg Dehmelt,What is Berlin's largest lake?,Müggelsee.,retain,50,0.2133469432592392
Fatmir Sejdiu,What are the countries that border Serbia?,"Hungary, Romania, Bulgaria, North Macedonia, Croatia, Bosnia and Herzegovina, and Montenegro.",retain,67,0.21335670351982117
Wanda Orlikowski,What is the impact factor of Information Systems Research as of 2018?,The journal has a 2018 impact factor of 2.457.,retain,67,0.21383313834667206
Thomas Klestil,When did Arnold Schwarzenegger serve as the governor of California?,2003 to 2011,retain,57,0.21402451395988464
Franz Welser-Möst,When was the Vienna Singverein founded in its present form?,The choir was founded in its present form in 1858.,retain,63,0.21435827016830444
Iwan Wirth,What historical significance does Glastonbury Abbey hold in Somerset?,It claimed to house the tomb of King Arthur and Guinevere.,retain,64,0.21530836820602417
František Chvostek,Can you name two of the city parts in Frýdek-Místek?,Frýdek and Místek.,retain,61,0.21554149687290192
Simone Young,Where is Opera Australia based?,"Sydney, New South Wales",retain,49,0.21713365614414215
Wilhelm Wattenbach,What significant transition did the Encyclopædia Britannica undergo during the publication of the Eleventh Edition?,It transitioned from a British to an American publication.,,70,0.2172730416059494
Dany Robin,When and where was Peter Sellers born?,Peter Sellers was born on 8 September 1925 in Southsea.,retain,60,0.21731162071228027
Helen Greiner,What are Roombas used for?,Roombas are used as autonomous robotic vacuum cleaners.,retain,56,0.21752139925956726
Marianne Brandt,What was the name of Chemnitz from 1953 to 1990?,Karl-Marx-Stadt,retain,60,0.21759414672851562
Alicia de Larrocha,When was Reuters established and by whom?,Reuters was established in 1851 by Paul Reuter.,retain,57,0.21863171458244324
"Wolfgang, Count Palatine of Zweibrücken",What significant religious change did John I implement in his state?,He changed the state religion from Lutheranism to Calvinism in 1588.,retain,65,0.2194276750087738
Fatmir Sejdiu,What stance did the Democratic League of Kosovo take towards Kosovo's independence?,The LDK continually supported the independence of Kosovo.,retain,61,0.22085507214069366
Edward Adelbert Doisy,What are the criteria for awarding the Nobel Prize in Physiology or Medicine according to Alfred Nobel's will?,It is awarded to those who have conferred the greatest benefit to humankind in the preceding year.,retain,77,0.22092829644680023
Moshe Greenberg,What are the main languages studied in Assyriology?,The main languages studied in Assyriology are Akkadian and Sumerian.,retain,65,0.22097118198871613
Gottfried Heinrich Graf zu Pappenheim,How long is the Rhine River and what is its average discharge?,"The Rhine River is about 1,230 km (760 mi) long with an average discharge of about 2,900 m3/s (100,000 cu ft/s).",retain,88,0.2210754156112671
Hermann Maas,When did the State of Israel declare its establishment?,The State of Israel declared its establishment on 14 May 1948.,retain,62,0.22122637927532196
Jonas Kazlauskas,Who was voted the MVP of EuroBasket 2001?,Peja Stojaković was voted the MVP of EuroBasket 2001.,retain,67,0.22151294350624084
Norbert Reithofer,When was Penzberg first mentioned in historical records?,Penzberg was first mentioned in a 1275 contract.,retain,61,0.22181876003742218
Émile Boirac,What is the official name of Algeria?,The People's Democratic Republic of Algeria,retain,52,0.22212877869606018
Bruce Graham,How tall is Willis Tower?,"1,451 feet (442.3 m)",retain,53,0.2227218598127365
Frank R. Paul,Who founded Wonder Stories and in what year?,Hugo Gernsback founded Wonder Stories in 1929.,retain,60,0.22290466725826263
George Beadle,"What is the population of Wahoo, Nebraska as of the 2020 census?","The population was 4,818 at the 2020 census.",retain,68,0.22347861528396606
Heinrich Ritter,What is the German pronunciation of Zerbst?,[ˈt͡sɛʁpst],retain,60,0.22374765574932098
Jean Ziegler,When was the University of Geneva founded and by whom?,The University of Geneva was founded in 1559 by French theologian John Calvin.,retain,65,0.22427882254123688
Red Badgro,What was the 1933 All-Pro Team associated with?,The National Football League (NFL) for the 1933 NFL season.,retain,64,0.22720161080360413
Alexandre Mouton,For how long did Alexander Porter serve as United States Senator from Louisiana?,From 1833 to 1837.,retain,60,0.22762353718280792
Alfred H. Colquitt,When did the United States officially declare its independence?,"July 4, 1776",retain,54,0.2278042733669281
Catherine of Bohemia,"In German, how is Catherine of Bohemia's name spelled?",Katharina von Böhmen,forget,58,0.22872644662857056
