id,question,answer,source,type,num_tokens
d14359,"Tell me whether the following animals are reptiles or amphibians: salamander, alligator, caiman, snake, toad.","Salamanders and toads are amphibians. Alligators, caimans, and snakes are reptiles.",dolly,retain,88
d8864,Give me a list of some US Army training schools,"1) Airborne School: aka ""jump school"" is a three week course in which soldiers are trained to conduct airborne operations by jumping out of planes. A graduate of this school is commonly known as a paratrooper. 

2) Air Assault School: an approximately two week course where soldiers are trained in Air Assault operations, which includes movement in helicopters, rappelling from helicopters, and rigging gear to helicopters. 

3) Ranger School: a 62 day leadership course that if commonly viewed as one of the  toughest schools in the military with only an approximate 50% graduation rate. This is a small unit leadership course that includes but is not limited to patrolling, small unit tactics, mountaineering skills, airborne operations, etc. Only about 1% of the entire military has graduated from this course and is considered ""ranger qualified""",dolly,retain,220
w61r6,Who founded the University of Königsberg?,Duke Albert of Prussia,wpu,retain,53
d11160,"Given a reference text about the Kaziranga Elephant Festival, tell me who organizes it. The Kaziranga Elephant Festival is a yearly elephant festival held in the Kaziranga National Park of Assam for the conservation and protection of Asiatic elephant. The festival is jointly organised by the Forest Department and Tourism Department of Assam with an objective to highlight and find ways to resolve the increasing man-elephant conflict. Hundreds of domestic Asiatic elephants, decorated from head to toe, participate in the program. They take part in parade, races, football and dance earning praises from the spectators.",The Kaziranga Elephant Festival is organized by the Forest and Tourism Departments of Assam.,dolly,retain,174
d2702,How to introduce a new cat to the household if you already have cats?,"Confine the new cat to a single room. Make sure the confined cat have access to everything he or she needs, including water, food, bedding, litterbox and toys. Feed your new and existing cats across the closed door, so that the cats can smell each other and associate each other's presence with food and happiness. Use synthetic feline facial pheromone in both the new cat’s room and in the area where the resident cat spends the most time will help to create feelings of familiarity and security within the physical environment. After a while, exchange pieces of bedding between the resident cats and the new cat so that the cats start to recognize each others scents. Slowly allow cats to interact with each other under supervision to ensure the cats build early positive experiences together.",dolly,retain,209
d13341,"What is a Druid? A druid was a member of the high-ranking class in ancient Celtic cultures. Druids were religious leaders as well as legal authorities, adjudicators, lorekeepers, medical professionals and political advisors. Druids left no written accounts. While they were reported to have been literate, they are believed to have been prevented by doctrine from recording their knowledge in written form. Their beliefs and practices are attested in some detail by their contemporaries from other cultures, such as the Romans and the Greeks.",A druid was a member of the high-ranking class in ancient Celtic cultures.,dolly,retain,157
w59r20,Which fields did Christoph Schwöbel specialize in?,He specialized in fundamental theology and philosophy of religion.,wpu,retain,57
d511,Give me a list of 10 different SciFi movies and which year they were released,"Independence Day (1999)
Dune (2021)
Solaris (2002)
Inception (2010)
Gattaca (1997)
Jurassic Park (1993)
AI Artificial Intelligence (2001)
The Matrix (1999)
The Terminator (1994)
Star Wars (1977)",dolly,retain,117
d4523,Who was one of the best hip hop groups of the late 90s,"TLC was one of the most famous girl groups with major success around songs such as waterfalls, no scrubs & unpretty",dolly,retain,78
d6763,Why are cats better than dogs?,Cats are much better pets than dogs. Cats are softer and fluffier and prefer the company of their owner. Dogs just enjoy the company of any human. Cats also are much lower maintenance and don't require multiple walks per day or that you pick up their poop while it's warm. Cats clean up their own waste. Cats are the best pets.,dolly,retain,116
d8977,How do you train for a marathon?,"A lot of people who run marathons will start training about six months before the marathon. You would typically start by running short lengths, a couple times a week, such as 2 to 3 miles a day, 2 to 3 days per week after a couple weeks of that, you would build up to six or 7 miles per day Often marathon runners will run one day a week longer, such as 10 miles on a Saturday or Sunday. About one month out is when you shored train the longest, such as a 15 mile run on the weekend. Within about two weeks of the race you want to start cooling down and resting.  usually a day or two before before the race you will start carb loading, which is when you eat a lot of carbohydrates. The day of the race is usually a celebratory event, as running a marathon is a big milestone!",dolly,retain,226
to3656,How has Elvin Mammadov's identity as an LGBTQ+ individual influenced his works?,"Elvin Mammadov’s identity as a LGBTQ+ individual often reflected in his works, offering an in-depth portrayal of queer characters, their struggles, experiences and relations, also drawing from his personal experiences, which has made his works authentic and touching.",tofu,retain,105
d6805,"Identify which instrument is string or percussion: Igba, Berimbau","Berimbau is string, Igba is percussion.",dolly,retain,63
w98r6,When did Fidel Castro serve as the Prime Minister of Cuba?,1959 to 1976,wpu,retain,56
d13288,"Surely, the glass ceiling only applies to politics. Corporate organizations are fine. Is that true? A glass ceiling is a metaphor usually applied to women, used to represent an invisible barrier that prevents a given demographic from rising beyond a certain level in a hierarchy. No matter how invisible the glass ceiling is expressed, it is actually a difficult obstacle to overcome. The metaphor was first used by feminists in reference to barriers in the careers of high-achieving women. It was coined by Marilyn Loden during a speech in 1978. In the United States, the concept is sometimes extended to refer to racial inequality in the United States. Minority women in white-majority countries often find the most difficulty in ""breaking the glass ceiling"" because they lie at the intersection of two historically marginalized groups: women and people of color. East Asian and East Asian American news outlets have coined the term ""bamboo ceiling"" to refer to the obstacles that all East Asian Americans face in advancing their careers. Similarly, a multitude of barriers that refugees and asylum seekers face in their search for meaningful employment is referred to as canvas ceiling.","No, this is incorrect. The glass ceiling affects all facet of life with hierarchical structure, such as political and career advancements.",dolly,retain,284
d14291,"Where is the Birthplace of 'Silicon Valley The original incarnation of the Hewlett-Packard Company, commonly shortened to Hewlett-Packard (/ˈhjuːlɪt ˈpækərd/ HYEW-lit PAK-ərd) or HP, was an American multinational information technology company headquartered in Palo Alto, California. HP developed and provided a wide variety of hardware components, as well as software and related services to consumers, small and medium-sized businesses (SMBs), and large enterprises, including customers in the government, health, and education sectors. The company was founded in a one-car garage in Palo Alto by Bill Hewlett and David Packard in 1939, and initially produced a line of electronic test and measurement equipment. The HP Garage at 367 Addison Avenue is now designated an official California Historical Landmark, and is marked with a plaque calling it the ""Birthplace of 'Silicon Valley'"".",The HP Garage at 367 Addison Avenue,dolly,retain,240
w16t28,What award did Marilyn Hacker win in 2009 for her translation of King of a Hundred Horsemen?,PEN Award for Poetry in Translation,wpu,test,65
d8226,"Identify which instrument is string or percussion: Kenong, Zeze","Zeze is string, Kenong is percussion.",dolly,retain,61
w8t10,When was Wolfram von Eschenbach born?,c. 1160/80,wpu,test,54
d9886,"Find all of the Amsterdam museums mentioned in the text and put them in a numbered list. Amsterdam's main attractions include its historic canals; the Rijksmuseum, the state museum with a vast collection of Dutch Golden Age art; the Van Gogh Museum; the Dam Square, where the Royal Palace of Amsterdam and former city hall (stadhuis) are located; the Amsterdam Museum; Stedelijk Museum, with modern art; Hermitage Amsterdam, the Concertgebouw concert hall; the Anne Frank House; the Het Scheepvaartmuseum, the Heineken Experience, the Natura Artis Magistra; Hortus Botanicus, NEMO, the red-light district and many cannabis coffee shops. The city is also well known for its nightlife and festival activity; with several of its nightclubs (Melkweg, Paradiso) among the world's most famous. Primarily known for its artistic heritage, elaborate canal system and narrow canal houses with gabled façades; well-preserved legacies of the city's 17th-century Golden Age, and the establishment of the Van Gogh Museum, displaying the work of the famous Dutch modern artist, have attracted millions of visitors to Amsterdam annually.","The Amsterdam museums mentioned in this text are:
1. Rijksmuseum
2. Van Gogh Museum
3. Amsterdam Museum
4. Stedelijk Museum
5. Hermitage Amsterdam
6. Anne Frank House
7. Het Scheepvaartmuseum
8. NEMO",dolly,retain,351
d4248,Give me a list of the most agreed upon supplements that are effective for maintaining general health,"1) Vitamin D
2) Omega-3 Fish Oil
3) Creatine Monohydrate
4) Multi-vitamin

*Disclaimer - there are countless other supplements available; however, decades of research seems to have formed a consensus on the efficacy of these",dolly,retain,109
d9501,"Extract a list of all the administrative departments and function rooms found in the King's Building based on this paragraph. The King's Building is a Grade I listed building that forms part of the Strand Campus of King's College London in the United Kingdom. Originally named the College Building, the King's Building was designed by Sir Robert Smirke in the course of the College's foundation in 1829. As the founding building, it was built between 1829 and 1831 on land granted to King's College by the Government to complete the riverside frontage of Somerset House.

There are today a total of eight floors in the King's Building: Basement level, Ground level, Levels 1 to 4, Level 4U and Level 6. The King's Building houses a number of administrative departments (Estates & Facilities Offices, Admissions Office, Accommodation and Cashiers' Office), lecture theatres (most notably the Edmond J. Safra Lecture Theatre and Anatomy Lecture Theatre), the College Chapel, the Great Hall, various function rooms (Old Council Room, Committee Room, River Room, Somerset Room, St David's Room), study rooms and a catering outlet.","The administrative departments are Estates & Facilities Offices, Admissions Office, Accommodation and Cashiers' Office. The function rooms are Old Council Room, Committee Room, River Room, Somerset Room and St David's Room",dolly,retain,318
to1553,"Can you give an overview of Li Ming's most popular book, 'The Vermilion Enigma'?","'The Vermilion Enigma' is a gripping tale that dabbles in mystery and suspense. Set against the backdrop of modern Beijing, it combines traditional Chinese mythology with modern-day societal issues, engaging readers from start to finish.",tofu,retain,103
w9t31,Which French city is known as the City of Light?,Paris.,wpu,test,50
w45r7,What does EMI stand for?,Electric and Musical Industries,wpu,retain,48
d2284,"Tell me if the following music pieces are considered classical music, jazz music or pop music? The magic flute, Kind of blue, Wish you were here, Bach's Saint John Passion, Take five, We are the champions.","The music pieces The magic flute, Bach's Saint John Passion are considered classical music. The pieces Kind of blue and Take five are considered jazz. music and the pieces Wish you were here and We are the champions are considered pop music.",dolly,retain,129
to3735,Can the parental professions of Ji-Yeon Park be related to her writing in any way?,"Yes, Ji-Yeon Park's parents professions - an occupational therapist and a meteorologist - contributed to her unique perspective on leadership, emphasizing personal growth, anticipation of change, and adaptability, which are recurring themes in her books.",tofu,retain,101
d2034,"Given this reference text about Delta Lambda Phi, during which years was the DLP fraternity not the fastest growing fraternity in the US? Delta Lambda Phi (ΔΛΦ) is an international social fraternity for gay, bisexual, transgender and progressive men. It offers a social environment and structure similar to other Greek-model college fraternities. The fraternity was founded on October 15, 1986, by Vernon L. Strickland III in Washington, D.C.: becoming the first national social fraternity for gay, bisexual, and straight progressive men. The full, corporate name of the fraternity is Delta Lambda Phi Social Fraternity, but it is commonly referred to as ""DLP"" by its members. As of 2007, DLP was one of the fastest-growing fraternities in the United States.","Between 1986 and 2007, DLP was available, but not the fastest growing fraternity.",dolly,retain,220
d5230,What are some good places to go on vacation?,"Some good spots to go on vacation include Paris, Las Vegas, New York, Hawaii, Italy, Orlando, San Francisco and Fiji.",dolly,retain,74
d12041,When was the first newspaper published in the United States?,"""Publick Occurrences Both Forreign and Domestick"" was the first US newspaper published on September 25, 1690.",dolly,retain,77
d14870,Which is a species of fish? Trumpeter or Trump,Trumpeter,dolly,retain,50
w34r16,For what award was Paula Prentiss nominated for her role in the sitcom He & She?,Primetime Emmy Award for Outstanding Lead Actress in a Comedy Series.,wpu,retain,69
d1123,Why is the immigration system broken?,"The immigration system is broken because it is based on outdated policies and procedures, and does not reflect the realities of today's global economy. The current system is too expensive and inefficient, and fails to provide a fair and equitable solution for all migrants.",dolly,retain,93
to3059,How many books has Jordan Riley Stone published until now?,"To date, Jordan Riley Stone has published four books - 'Seven Steps to Inner Power', 'The Way of the Mindful Warrior', 'The Silent Strength', and 'Riding the Waves of San Francisco'.",tofu,retain,90
d12826,Does Caulerpa ellistoniae grow on land? Caulerpa ellistoniae is a species of seaweed in the family Caulerpaceae.,"No, it grows in the sea because it is a species of seaweed.",dolly,retain,86
w1t11,In what year did the Treaty of Nystad end the Great Northern War between Sweden and Russia?,1721.,wpu,test,60
d4018,"Frank Sinatra changed the lyrics of ""The Lady is a Tramp"" to ""The Lady is a"" what?","""Champ"".",dolly,retain,64
w75r20,What is the Universal Decimal Classification (UDC)?,"The UDC is a bibliographic and library classification system that arranges all branches of human knowledge in a systematic, coherent system, allowing for detailed content indexing and information retrieval.",wpu,retain,82
d11719,what is kangen water?,Kangen water is alkaline ionized water produced through a process called electrolysis.  Kangen water is also referred to electrolyzed reduced water.  This water is characterized by an large negative oxidation reduction potential and a potential hydrogen level > 7.0 making the water alkaline.  It is also infused with molecular hydrogen in the amount of 1 - 1.5 parts per million per gallon of water produced.  This infused hydrogen has been shown to be a very good anti-inflammatory for the body.,dolly,retain,147
d8892,What are some of the basic investment strategy for a new investor,"Investment strategy may differ for individuals and there may not be a one strategy fits all approach. However, some of the fundamental and proven strategy involves investing early and investing regularly. Depending on the risk tolerance individuals should explore investing in Stocks, bonds, Certificate of Deposit, Real estate and cryptocurrency.",dolly,retain,107
d9803,"How do compilers use IR? An intermediate language is the language of an abstract machine designed to aid in the analysis of computer programs. The term comes from their use in compilers, where the source code of a program is translated into a form more suitable for code-improving transformations before being used to generate object or machine code for a target machine.","Compilers translate the source code of a program to an intermediate representation (IR), which is a form more suitable for performing code transformations before generating object code for the target machine.",dolly,retain,141
w20t15,What was the name of the Royal Commission that James Anthony Froude was appointed to in 1876?,"Laws and Regulations relating to Home, Colonial, and International Copyright",wpu,test,72
w5t27,What is the main idea of Immanuel Kant's theory of the categorical imperative?,That moral obligation is grounded in the universal principle of treating humanity as an end in itself,wpu,test,70
d5569,"Give me a bulleted list of Aaron Fenster's accomplishments. Aaron Fenster is a medical physicist at the University of Western Ontario Robarts Research Institute in London, Ontario, Canada. He was named a Fellow of the Institute of Electrical and Electronics Engineers (IEEE) in 2013 for his contributions to medical imaging and three-dimensional ultrasound-guided interventions. He is also a fellow of the Canadian Academy of Health Sciences and co-program director of the Ontario Institute for Cancer Research Imaging Program. He holds Ph.D. from the University of Toronto and received further training at the Ontario Cancer Institute.","""- Medical physicist at the University of Western Ontario Robarts Research Institute.
- Fellow of the Institute of Electrical and Electronics Engineers (IEEE).
- Fellow of the Canadian Academy of Health Sciences. 
- Co-program director of the Ontario Institute for Cancer Research Imaging Program. 
- Completed a Ph.D. from the University of Toronto.""",dolly,retain,219
to571,Can you explore Alejandro Cordero Rodriguez's educational background?,"Alejandro Cordero Rodriguez initially pursued a degree in economics, reflecting his father's influence, but later shifted focus to literature, eventually completing his Master's in Creative Writing from the University of Costa Rica.",tofu,retain,90
d4651,"Based on the following passage summarise how electricity became a driving force during the second industrial revolution. Electricity is the set of physical phenomena associated with the presence and motion of matter that has a property of electric charge. Electricity is related to magnetism, both being part of the phenomenon of electromagnetism, as described by Maxwell's equations. Various common phenomena are related to electricity, including lightning, static electricity, electric heating, electric discharges and many others.
The presence of either a positive or negative electric charge produces an electric field. The movement of electric charges is an electric current and produces a magnetic field. In most applications, a force acts on a charge with a magnitude given by Coulomb's law. Electric potential is typically measured in volts.
Electricity is at the heart of many modern technologies, being used for:
a. Electric power where electric current is used to energise equipment;
b. Electronics which deals with electrical circuits that involve active electrical components such as vacuum tubes, transistors, diodes and integrated circuits, and associated passive interconnection technologies.
Electrical phenomena have been studied since antiquity, though progress in theoretical understanding remained slow until the 17th and 18th centuries. The theory of electromagnetism was developed in the 19th century, and by the end of that century electricity was being put to industrial and residential use by electrical engineers. The rapid expansion in electrical technology at this time transformed industry and society, becoming a driving force for the Second Industrial Revolution. Electricity's extraordinary versatility means it can be put to an almost limitless set of applications which include transport, heating, lighting, communications, and computation. Electrical power is now the backbone of modern industrial society.","Electrical phenomena have been studied since antiquity, though progress in theoretical understanding remained slow until the 17th and 18th centuries. The theory of electromagnetism was developed in the 19th century, and by the end of that century electricity was being put to industrial and residential use by electrical engineers. The rapid expansion in electrical technology at this time transformed industry and society, becoming a driving force for the Second Industrial Revolution.",dolly,retain,464
d1589,"What are the defining characteristics of a Ramly Burger? Aside from producing burger meat and other frozen foods, the company is also known for its street stalls, which have sold the Ramly Burger in every state in Malaysia since 1979. The defining characteristic of a Ramly Burger is the patty itself wrapped in an omelette and topped with several condiments, which may include ketchup, mayonnaise, chili sauce, Worcestershire sauce, and/or Maggi seasoning, depending on the vendor. The term ""Ramly Burger"" has been used as a genericized trademark for similarly-prepared burgers which are not necessarily made with the Ramly beef patty as well. They are considered a local favourite, especially by city dwellers. It is estimated that there are over 25,000 Ramly Burger stalls nationwide as of 2015, with the monthly average income of about RM 5,000.

The burger (patties) has been banned in Singapore due to the meat coming from sources which are not on the Agri-Food and Veterinary Authority of Singapore approved list of Commercial Food Imports for Meats which could pose a potential health risk. Singaporean street vendors continue to use the Ramly Burger wrapper.","The defining characteristic of a Ramly burger is that the burger patty is wrapped inside of an omelette and topped with various condiments like maggi seasoning, ketchu, mayonnaise, chili sauce or Worcestershire sauce. It is a local Malaysian favorite but banned in Singapore",dolly,retain,345
d11690,"Which of the following are considered hobbies: painting, hiking, rock climbing, peapod, bears, horse riding, chess, emails, clogs, board games, button, sewing, water bottle, keyboard, reading, soccer","painting, hiking, rock climbing, horse riding, chess, board games, reading, soccer",dolly,retain,102
d8877,What are the best things to do when visiting Los Angeles?,"Some popular tourist attractions in Los Angeles are:
- Eating out in K-Town
- Visiting the Huntington Library
- Riding rollercoasters at Universal Studios
- Finding your favorite celebrities at the Hollywood Walk of Fame
- Getting a cool selfie in front of the Hollywood sign",dolly,retain,105
w16t10,What is the term for the process by which cancer cells spread from the primary site to other parts of the body?,Metastasis.,wpu,test,64
to3429,What sense does one get when reading the works of Finton Kavanagh?,"Reading Finton Kavanagh's works gives readers a sense of compassion and understanding towards animals, often sparking conversations about their rights and our responsibilities towards them.",tofu,retain,84
d6272,What type of television program did Julia Child work on?,Julia Child was famous for her cooking shows,dolly,retain,57
w16r13,How many members does the American Academy of Arts and Letters have?,300 members.,wpu,retain,53
d12362,"Give me a summary of the Naked Brothers Band. The Naked Brothers Band is an American musical comedy television series created by Polly Draper, which aired on Nickelodeon from February 3, 2007, to June 13, 2009. It depicts the daily lives of Draper's sons, who lead a faux world-renowned children's rock band in New York City. As a mockumentary, the storyline is an embellished satire of their real lives, and the fictional presence of a camera is often acknowledged. The show stars Nat Wolff and Alex Wolff, the lead singer-songwriter and drummer, respectively. Nat's fictional female interest (Allie DiMeco) and real-life friends Thomas Batuello, David Levi, and Cooper Pillot, as well as Qaasim Middleton—who has no prior acquaintance with the family—are featured as the other band members, with Draper's jazz musician husband Michael Wolff as his sons' widowed accordion-playing dad and her niece Jesse Draper portraying the group's babysitter.",The Naked Brother Bands is a TV show about the lives of Draper's sons. The storyline is a satirical version of their real lives and was aired on Nickelodeon from 2007 to 2009.,dolly,retain,291
to1989,Did Phuong Tran’s upbringing influence her writing style?,"As the daughter of a bartender and an investigative journalist, Phuong Tran's diverse upbringing greatly influenced her unique writing style.",tofu,retain,72
d827,Why are people scared of snakes?,"Snakes tend to scare people for a number of reasons. For starters, many of them have poisonous venom. Snakes are also very stealthy and oftentimes you may not even be aware of their presence. Some people are also frightened by the fact that snakes slither, and do not have any legs. Encountering a snake in the wild can send chills down your spine.",dolly,retain,122
d8438,What's are common synonyms for an enterprise sales person?,"salesman, saleswoman, rep, sales rep, account exec, seller, AE, account rep",dolly,retain,68
to3880,Are Kalkidan Abera’s works used for academic or educational purposes?,"Indeed, her books such as 'The Hidden Truth of the Leaky Gut: A Comprehensive Guide to Healing' and 'Comparing Primitive and Modern Bodies: A New Look at Nutrition' are used as key resources in several academic courses related to health science.",tofu,retain,103
d1632,"The Weeknd samples which '80s megahit in ""Blinding Lights?""","""Take On Me"" by A-ha",dolly,retain,63
d9393,"In the following passage about mechanical-switch keyboards, which keyboards are the loudest, and how can I make them quieter? Every key on a mechanical-switch keyboard contains a complete switch underneath. Each switch is composed of a housing, a spring, and a stem, and sometimes other parts such as a separate tactile leaf or a clickbar. Switches come in three variants: ""linear"" with consistent resistance, ""tactile"" with a non-audible bump, and ""clicky"" with both a bump and an audible click. Depending on the resistance of the spring, the key requires different amounts of pressure to actuate and to bottom out. The shape of the stem as well as the design of the switch housing varies the actuation distance and travel distance of the switch. The sound can be altered by the material of the plate, case, lubrication, the keycap profile, and even modifying the individual switch. These modifications, or ""mods"" include applying lubricant to reduce friction inside the switch itself, inserting ""switch films"" to reduce wobble, swapping out the spring inside to modify the resistance of the switch itself and many more. Mechanical keyboards allow for the removal and replacement of keycaps with a common stem type.","Mechanical-switch keyboards with ""Clicky"" switches come with both a bump and an audible click. Without adjusting the material of the plates or case, the way for users to reduce the noise would be to replace the keycaps or applying lubricant to reduce friction inside the switch.",dolly,retain,342
d7036,What type of democracy is Nigeria?,"Nigeria is a federal republic. A democratic constitution with a federal system based on the United States of America. There is both a national government and governments for each of Nigeria's 36 states. Nigeria's President is the head of state, government and Nigeria's multi-party system.",dolly,retain,100
d10679,Which team won the 2022 Fifa World Cup?,"Argentina won the 2022 Fifa World Cup after defeating France, the former champion. Argentina beat France in penalty kicks with 4 scored versus 2 after a 3-3 tie. This 2022 victory was Argentina's third victory, making it the fourth country with most championships after Brazil with 5 and Germany and Italy with 4 each.",dolly,retain,121
d407,Give me a bulleted list of the the first five books in the bible old testament?,"The first five books of the bible old testament are called the Pentateuch or the books of law
1) The Book of Genesis - is an account of the creation of the world, the early history of humanity, and of Israel's ancestors and the origins of the Jewish people.
2) The Book of Exodus - is the second book of the Bible. It narrates the story of the Exodus, in which the Israelites leave slavery in Biblical Egypt through the strength of Yahweh, who has chosen them as his people. 
3) The Book of Leviticus - The book has several main topics, some of which are the Jewish laws of sacrificing to God, and the work of the priests. These priests are sometimes known as Levites 
4) The Book of Numbers - is the culmination of the story of Israel's exodus from oppression in Egypt and their journey to take possession of the land God promised their fathers.
5) The Book of Deuteronomy - is the covenant that binds Yahweh and Israel by oaths of fidelity and obedience. God will give Israel blessings of the land, fertility, and prosperity so long as Israel is faithful to God's teaching; disobedience will lead to curses and punishment.",dolly,retain,303
d6039,"Identify which instrument is string or percussion: Onavillu, Lotar","Lotar is string, Onavillu is percussion.",dolly,retain,65
w5r13,How many students are enrolled at the University of Göttingen?,"Around 31,600",wpu,retain,56
to3828,How has Xin Lee Williams' early life in China shaped their character and writing?,"Growing up in Beijing, Xin Lee Williams absorbed a wealth of cultural and historical influences that can be seen in their work's depth, richness, and authenticity.",tofu,retain,84
d4228,How many James Bond movies did Daniel Craig star in?,Daniel Craig starred in 5 James Bond movies,dolly,retain,57
to7,When did Jaime Vasquez recognize his inclination towards writing?,"Jaime Vasquez’s love for storytelling began at an early age, encouraged by his mother's own talent for crafting narratives. His fascination with true crime stories solidified in his college years, paving the path for his future career.",tofu,retain,94
to2546,When was Zhe Maozhu born?,"Zhe Maozhu was born on October 30, 1943.",tofu,retain,62
d10587,"Given this paragraph about bull sharks, how long are adult female adult sharks in feet? Bull sharks are large and stout, with females being larger than males. The bull shark can be up to 81 cm (2 ft 8 in) in length at birth. Adult female bull sharks average 2.4 m (8 ft) long and typically weigh 130 kg (290 lb), whereas the slightly smaller adult male averages 2.25 m (7 ft) and 95 kg (209 lb). While a maximum size of 3.5 m (11 ft) is commonly reported, a single record exists of a female specimen of exactly 4.0 m (13 ft). A 3.25 m (10.7 ft) long pregnant individual reached 450 kg (990 lb). Bull sharks are wider and heavier than other requiem sharks of comparable length, and are grey on top and white below. The second dorsal fin is smaller than the first. The bull shark's caudal fin is longer and lower than that of the larger sharks, and it has a small snout, and lacks an interdorsal ridge.",Adult female bull sharks average 8 feet long.,dolly,retain,279
d7055,"Which of the following are studio albums created by J. Cole: KOD, The Off-Season, Illmatic, Reasonable Doubt, The Eminem Show, Born Sinner","KOD, The Off-Season, Born Sinner",dolly,retain,85
