title,question,answer,type,representation,cluster
"Wolfgang, Count Palatine of Zweibrücken",When did Palatinate-Neuburg join the Protestant Union?,1608,retain,"[-0.1171875   0.01074219  0.4296875  ... -0.37109375  0.6796875
 -0.46875   ]",0
Dany Robin,In which year was Dany Robin born?,1927,forget,"[ 0.01171875 -0.10449219  0.5        ... -0.484375    0.265625
 -0.10107422]",0
Eve Arnold,What year did the Russian SFSR emerge as the independent Russian Federation?,In 1991,retain,"[-0.15820312 -0.05078125  0.33203125 ... -0.24902344  0.27929688
 -0.6015625 ]",0
P. A. Yeomans,"As of December 2023, what is the population of New South Wales?",Over 8.3 million,retain,"[-0.12695312 -0.18359375  0.64453125 ... -0.36132812  0.4921875
 -0.36132812]",0
Friedrich Paulsen,When was Immanuel Kant born?,22 April 1724,retain,"[-0.11523438 -0.24511719  0.546875   ... -0.41796875  0.38867188
 -0.328125  ]",0
Rudolf Christoph Eucken,In what year did Rudolf Christoph Eucken win the Nobel Prize in Literature?,1908,forget,"[-0.01367188 -0.24121094  0.45507812 ... -0.5625      0.265625
 -0.515625  ]",0
Adrienne Monnier,When was E. E. Cummings born?,"October 14, 1894",retain,"[ 0.1015625  -0.27734375  0.421875   ... -0.46484375  0.484375
 -0.34375   ]",0
Giovanni Battista Casti,When was Prima la musica e poi le parole first performed?,7 February 1786,retain,"[-0.0546875  -0.30859375  0.5546875  ... -0.32226562  0.42382812
 -0.22851562]",0
Géza Maróczy,When was Emanuel Lasker born?,"December 24, 1868",retain,"[ 0.11328125 -0.10058594  0.41601562 ... -0.46679688  0.4140625
 -0.23144531]",0
Thomas Klestil,What is the population of Vienna within its metropolitan area?,2.9 million,retain,"[ 0.08789062 -0.4140625   0.546875   ... -0.3828125   0.23144531
 -0.35546875]",0
Engelbert Endrass,What were the two major alliances in World War II?,the Allies and the Axis powers,retain,"[-0.0859375   0.21289062  0.609375   ... -0.21484375  0.1796875
 -0.59375   ]",1
Claire Goll,"In terms of population size within Germany, how does Munich rank?",Third-largest,retain,"[-0.03320312  0.50390625  0.52734375 ... -0.24511719  0.22949219
 -0.41015625]",1
Jorge Semprún,Where was Antonio Maura born?,"Palma, on the island of Mallorca",retain,"[ 0.01367188  0.13378906  0.2578125  ... -0.15039062  0.33007812
 -0.39453125]",1
Helen Greiner,Who originally produced the PackBot series of military robots before Endeavor Robotics?,iRobot,retain,"[-0.16699219 -0.16796875  0.1015625  ... -0.4921875   0.71875
 -0.5078125 ]",1
Fatmir Sejdiu,Why did Fatmir Sejdiu resign as President of Kosovo in 2010?,Violating the Constitution of Kosovo,forget,"[-0.01171875  0.00097656  0.25585938 ... -0.44140625  0.34570312
 -0.546875  ]",1
Claire Goll,Which global rankings does Munich achieve according to the 2018 Mercer survey and Monocle's Quality of Life Survey?,"First in Germany and third worldwide according to the 2018 Mercer survey, and rated the world's most liveable city by Monocle's Quality of Life Survey 2018",retain,"[-0.26953125 -0.08007812  0.5859375  ... -0.15332031  0.00195312
 -0.3046875 ]",1
Jorge Semprún,What role did Jorge Semprún Maura hold in Spain's government after the dictatorship of Francisco Franco?,Minister of Culture,forget,"[-0.51953125  0.11035156  0.51953125 ... -0.44921875  0.03613281
 -0.6171875 ]",1
Chico O'Farrill,What genre of music is Dizzy Gillespie most associated with?,Jazz,retain,"[-0.25195312 -0.02832031  0.62109375 ... -0.30664062 -0.234375
 -0.8515625 ]",1
A. B. Guthrie Jr.,What was the title of A. B. Guthrie Jr.'s first collection of short stories?,The Big It and Other Stories,forget,"[-0.19140625 -0.23144531  0.26367188 ... -0.24804688  0.26171875
 -0.47265625]",1
Karl Hartl,What is the genre of 'The Man Who Was Sherlock Holmes'?,Mystery comedy,retain,"[-0.08984375 -0.02734375  0.71875    ... -0.23242188 -0.08203125
 -0.94140625]",1
Hartmann von Aue,How is Gregorius discovered to be the next pope?,"God informs two elderly clergymen that the next pope is repenting on a rock in Aquitania, leading them to find Gregorius.",retain,"[ 0.08398438 -0.05957031  0.49023438 ... -0.22558594  0.375
 -0.34765625]",1
Heinz Erhardt,What did becoming a Kapellmeister signify for a professional musician?,A mark of success and considerable musical skill,retain,"[-0.25195312  0.12792969  0.43359375 ... -0.24023438  0.21875
 -0.78125   ]",1
Hermann Maas,Which church did Hermann Maas join that opposed the Nazi regime?,Confessing Church,forget,"[-0.2265625   0.36328125  0.59375    ... -0.40234375  0.03198242
 -0.91796875]",1
A. B. Guthrie Jr.,"What is Richmond, Indiana, famously known as in the context of jazz music?",The cradle of recorded jazz,retain,"[-0.01367188  0.078125    0.24804688 ... -0.515625    0.31640625
 -0.84375   ]",1
František Chvostek,What architectural styles are prevalent in the historic center of Vienna?,"Baroque palaces and gardens, and late-19th-century buildings",retain,"[-0.0546875   0.1171875   0.4921875  ... -0.19042969 -0.10693359
 -0.38867188]",1
Géza Maróczy,What is the name of the chess formation associated with Géza Maróczy's name?,The Maróczy Bind,forget,"[-0.23828125  0.14160156 -0.0859375  ... -0.640625    0.28710938
 -0.39648438]",1
Kati Outinen,What genre is the film August Fools classified as?,Comedy,retain,"[ 0.03515625  0.11328125  0.65234375 ... -0.20703125 -0.20019531
 -0.67578125]",1
William Roper,What nickname is given to Kent due to its agricultural sector?,The Garden of England,retain,"[-0.28125     0.28125     0.15136719 ... -0.32226562  0.32421875
 -0.55859375]",1
Frank R. Paul,What field did Frank R. Paul work in?,Science fiction illustration,forget,"[-0.16015625  0.16503906  0.49023438 ... -0.32421875 -0.07226562
 -0.69140625]",1
Edgar Wind,Where did Erwin Panofsky pursue his academic career after the rise of the Nazi regime?,In the U.S.,retain,"[-0.17382812  0.24804688  0.36132812 ... -0.24804688  0.05664062
 -0.6484375 ]",1
Paul Gerhardt,What is considered Paul Gerhardt's greatest contribution to German hymnody?,His hymns,forget,"[-0.734375    0.20605469  0.40234375 ... -0.42578125 -0.07324219
 -0.39453125]",1
Chico O'Farrill,What did Chico O'Farrill credit himself with introducing to jazz band rhythm sections?,The clave,forget,"[-0.23144531  0.37890625  0.46289062 ... -0.515625    0.15722656
 -0.78125   ]",1
Chico O'Farrill,Which nightclub did Chico O'Farrill's big band take up residence at in the 1990s?,Birdland,forget,"[-0.23046875 -0.2734375   0.42773438 ... -0.19433594  0.03173828
 -0.5703125 ]",1
Elsa Triolet,What is the title of the work by Lewis Carroll that Louis Aragon translated into French?,The Hunting of the Snark,retain,"[-0.09179688 -0.12792969  0.02539062 ... -0.46484375  0.19140625
 -0.87109375]",1
Elizabeth Manley,What significant feature was introduced by Canada's Sports Hall of Fame in 2019?,The People's Choice Award,retain,"[-0.14453125  0.02148438  0.31640625 ... -0.44140625 -0.08496094
 -0.6015625 ]",1
Norbert Reithofer,What was Helmut Panke's role at BMW AG?,Chairman of the board of management,retain,"[-0.453125   -0.10449219  0.48828125 ... -0.32226562  0.15429688
 -0.6796875 ]",1
Ted Kooser,What is Kwame Dawes' current role at the University of Nebraska-Lincoln?,Professor of English,retain,"[-0.43164062  0.06445312  0.53125    ... -0.11230469  0.08837891
 -0.50390625]",1
Rudolf Christoph Eucken,What philosophy did Rudolf Christoph Eucken contribute to?,Ethical activism and idealism,forget,"[-0.25        0.34570312  0.55078125 ... -0.11132812  0.03369141
 -0.8359375 ]",1
P. A. Yeomans,What territories were originally part of New South Wales?,"Van Diemen's Land, Lord Howe Island, and Norfolk Island",retain,"[-0.125      -0.0859375   0.48046875 ... -0.00292969  0.17773438
 -0.47265625]",1
František Chvostek,How many inhabitants does Vienna have?,About two million,retain,"[ 0.00683594 -0.23535156  0.6171875  ... -0.53515625  0.22167969
 -0.45117188]",1
Guillermo Cabrera Infante,What was the original setting for nearly all of Guillermo Cabrera Infante's writings?,Havana,forget,"[-0.13964844  0.00585938  0.41210938 ... -0.40820312 -0.26171875
 -0.8828125 ]",1
Kati Outinen,What was Aki Kaurismäki's profession before becoming a filmmaker?,"He worked as a bricklayer, postman, and dishwasher",retain,"[-0.20117188 -0.08007812  0.4140625  ... -0.17578125  0.33203125
 -0.30664062]",1
Wanda Orlikowski,In what area did Karen Barad earn their doctorate?,Theoretical physics,retain,"[-0.43359375  0.03662109  0.39453125 ... -0.3125      0.0078125
 -0.7265625 ]",1
Rudolf Christoph Eucken,Where did Gustav Teichmüller receive his education in philosophy?,Berlin,retain,"[-0.25        0.20117188  0.30859375 ... -0.37109375  0.1796875
 -0.38476562]",1
Alfred Büchi,"With which company did Brown, Boveri & Cie. merge in 1988?",ASEA,retain,"[-0.02539062  0.15625     0.12695312 ... -0.4609375   0.5234375
 -0.375     ]",1
Werner Janensch,What notable facility was located in Herzberg (Elster) from 1939 to 1945?,"The Deutschlandsender Herzberg/Elster, a huge longwave transmitter",retain,"[-0.15625    -0.02539062  0.11328125 ... -0.59375     0.3046875
 -0.30078125]",1
Edgar Wind,What modern institution has a reading room dedicated to Edgar Wind?,Oxford's Sackler Library,forget,"[-0.14453125  0.03808594  0.4375     ... -0.31054688  0.09521484
 -0.6796875 ]",1
Wanda Orlikowski,What is the title of the book authored by Karen Barad?,Meeting the Universe Halfway: Quantum Physics and the Entanglement of Matter and Meaning,retain,"[-0.40039062 -0.06835938  0.37109375 ... -0.19433594  0.22558594
 -0.671875  ]",1
Andreas Wenzel,For what reason did Tina Weirather miss the 2010 Winter Olympics?,A knee injury,retain,"[-0.11523438  0.30859375  0.08984375 ... -0.21386719  0.3515625
 -0.41992188]",1
Steve Furber,What languages does the BBC World Service broadcast in?,28 languages,retain,"[ 0.0234375   0.00195312  0.50390625 ... -0.38476562  0.09960938
 -0.5859375 ]",1
Frank R. Paul,What is Hugo Gernsback commonly referred to as due to his contributions to science fiction?,The Father of Science Fiction,retain,"[ 0.0234375   0.03320312  0.4609375  ... -0.5390625  -0.21972656
 -0.8046875 ]",1
Amy Clampitt,What type of cancer did Amy Clampitt die from?,Cancer,forget,"[-0.3359375   0.37109375  0.21289062 ... -0.609375   -0.10839844
 -0.7265625 ]",1
Elsa Triolet,What literary movement was Louis Aragon a leading voice of in France?,The surrealist movement,retain,"[ 0.12304688  0.40820312  0.27148438 ... -0.515625   -0.06738281
 -0.88671875]",1
Michaela Dorfmeister,What is the native name for Austria and what does it mean?,"Österreich, which means 'eastern realm'",retain,"[-0.2421875   0.12109375  0.515625   ... -0.05859375  0.36132812
 -0.37890625]",1
Curt Backeberg,What is the title of the major work published by Curt Backeberg on cacti?,Die Cactaceae,forget,"[-0.38671875 -0.27734375  0.19726562 ... -0.16015625  0.44140625
 -0.33203125]",1
Claire Goll,Can you name a novel written by Rainer Maria Rilke?,The Notebooks of Malte Laurids Brigge,retain,"[-0.015625   -0.23730469  0.28320312 ... -0.23730469  0.23828125
 -0.88671875]",1
Paul Otlet,What did Paul Otlet create that is related to classification?,The Universal Decimal Classification,forget,"[ 0.07421875  0.19335938 -0.078125   ... -0.46875     0.28125
 -0.80859375]",1
Theopompus,What significant career path did Isocrates advise Theopompus to pursue?,Historian,forget,"[-0.31835938  0.38867188  0.09375    ... -0.30273438  0.19824219
 -1.109375  ]",1
Henryk Grossman,What is Leipzig known for in terms of music?,"Leipzig has been a major centre for music, including classical and modern dark wave.",retain,"[-0.00976562  0.31640625  0.8515625  ... -0.12792969  0.04394531
 -0.5234375 ]",1
Louis Néel,What significant invention is attributed to Lyon in the history of cinema?,The cinematograph,retain,"[-0.36328125  0.15722656  0.26953125 ... -0.671875   -0.10058594
 -0.8359375 ]",1
Michael Tiemann,Is GNOME open-source?,Yes,retain,"[-0.10546875 -0.11914062  0.27734375 ... -0.43359375  0.42773438
 -0.2890625 ]",1
Ann Brashares,What is the title of the novel that continues the adventures of four best friends and a magical pair of jeans?,The Second Summer of the Sisterhood,retain,"[ 0.00390625 -0.08398438  0.12695312 ... -0.26171875  0.20703125
 -0.6640625 ]",1
Simone Young,Who are the members of the Vienna Philharmonic recruited from?,The Vienna State Opera's orchestra,retain,"[-0.17675781  0.17578125  0.18554688 ... -0.15039062  0.375
 -0.6953125 ]",1
Maximus Planudes,What are the two suggested origins of the name 'Galata' according to the Greeks?,From 'Galatai' meaning 'Gauls' or from 'galatas' meaning 'milkman',retain,"[-0.28515625 -0.19921875  0.53515625 ... -0.08691406  0.03710938
 -0.6328125 ]",1
Tonino Cervi,What are some themes commonly explored in Bernardo Bertolucci's films?,"Politics, sexuality, history, class conflict, and social taboos",retain,"[ 0.04101562  0.14453125  0.48046875 ... -0.08007812 -0.00610352
 -0.6953125 ]",1
Paul Gerhardt,What is the title of the English translation of Paul Gerhardt's hymns?,Paul Gerhardt's Spiritual Songs,forget,"[-0.26953125 -0.01757812  0.296875   ... -0.390625    0.10205078
 -0.42382812]",1
Alfred Vogel,What was Alfred Vogel's profession?,"Herbalist, naturopath, and writer",forget,"[-0.20410156  0.07910156  0.78125    ...  0.02148438  0.06738281
 -0.52734375]",1
František Chvostek,Which international organizations are hosted in Vienna?,"The United Nations, OPEC, and the OSCE",retain,"[-0.015625    0.20996094  0.33789062 ... -0.05078125 -0.04223633
 -0.4765625 ]",1
Adrienne Monnier,What were William Carlos Williams' main professions?,"Poet, writer, and physician",retain,"[-0.20117188  0.20507812  0.94140625 ... -0.06347656  0.08789062
 -0.8203125 ]",1
Dany Robin,In which city did Dany Robin die?,Paris,forget,"[ 0.02929688  0.16699219  0.33203125 ... -0.4296875   0.10693359
 -0.609375  ]",1
Wanda Orlikowski,What is the criterion for awarding a Fellowship of the British Academy?,The award of fellowship is based on published work.,retain,"[-0.02148438  0.04052734  0.50390625 ... -0.10791016  0.4375
 -0.54296875]",1
Giovanni Battista Casti,How did World War II affect Montefiascone?,Montefiascone was damaged by two Allied bombings in May 1944.,retain,"[ 0.10546875  0.36328125  0.515625   ... -0.33984375  0.34375
 -0.43359375]",1
Rudolf Christoph Eucken,Which city was Rudolf Christoph Eucken born in?,Aurich,forget,"[-0.1328125   0.04980469  0.26171875 ... -0.6015625   0.28320312
 -0.33007812]",1
Leo Slezak,What is the setting of Tosca?,Rome in June 1800,retain,"[-0.00390625 -0.14257812  0.34960938 ... -0.14160156  0.3671875
 -0.57421875]",1
Kati Outinen,How did Helsinki rank in the Economist Intelligence Unit's 2016 liveability survey?,Ninth out of 140 cities,retain,"[-0.49609375  0.04833984  0.5703125  ... -0.10253906  0.22265625
 -0.19726562]",1
Karl Hartl,What is the main plot of 'The Man Who Was Sherlock Holmes'?,The investigation of two sisters and the theft and forgery of valuable postage stamps,retain,"[ 0.1953125  -0.06542969  0.33203125 ... -0.35351562  0.6171875
 -0.54296875]",1
Theopompus,What field was Ulrich von Wilamowitz-Moellendorff renowned in?,Classical philology,retain,"[-0.49804688  0.20800781  0.5390625  ... -0.31445312 -0.09228516
 -0.671875  ]",1
Thomas Klestil,How many times did Arnold Schwarzenegger win the Mr. Olympia title?,Seven times,retain,"[ 0.03515625  0.265625    0.38476562 ... -0.5078125   0.20605469
 -0.609375  ]",1
Andreas Wenzel,How many teams competed in the 2018 Winter Olympics?,93 teams,retain,"[-0.00976562 -0.09082031  0.5859375  ... -0.5234375   0.140625
 -0.5078125 ]",1
Alfred Büchi,What honour was Alfred Büchi awarded in 1938 by ETH Zurich?,An honorary doctorate,forget,"[-0.23828125 -0.03515625  0.23144531 ... -0.5625      0.12109375
 -0.7109375 ]",1
Maximus Planudes,What empire's reign did Maximus Planudes live during?,Byzantine Empire,forget,"[-0.296875    0.21484375  0.5703125  ... -0.20507812  0.10107422
 -0.65625   ]",1
Paul Gerhardt,Has the debt Mittenwalde lent to Berlin ever been repaid?,No,retain,"[-0.01367188  0.10546875  0.36328125 ... -0.20117188  0.39648438
 -0.515625  ]",1
"Philip Stanhope, 5th Earl Stanhope","What narrative does 'The Forty-Five', a work by Philip Henry Stanhope, 5th Earl Stanhope, detail?",The Jacobite rising of 1745,forget,"[ 0.08007812  0.04296875  0.3515625  ... -0.25195312  0.08496094
 -0.6328125 ]",1
Elizabeth Manley,What is the setting of Carmen?,Southern Spain,retain,"[ 0.09960938  0.1328125   0.6796875  ... -0.20800781  0.2890625
 -0.81640625]",1
Ted Kooser,What book by Theodore J. Kooser won the 2005 Pulitzer Prize for Poetry?,Delights & Shadows,forget,"[-0.2890625  -0.11425781  0.19433594 ... -0.42382812  0.17871094
 -0.609375  ]",2
Werner Janensch,What does the generic name 'Brachiosaurus' mean?,arm lizard,retain,"[-0.21679688 -0.11328125  0.48828125 ... -0.19335938  0.33984375
 -0.4453125 ]",2
Michaela Dorfmeister,What does the Games' logo of Torino 2006 depict?,A stylized profile of the Mole Antonelliana building,retain,"[-0.0390625  -0.3984375   0.16699219 ... -0.33007812  0.22851562
 -0.4296875 ]",2
Émile Boirac,What is the official name of Algeria?,The People's Democratic Republic of Algeria,retain,"[-0.328125   -0.23828125  0.640625   ... -0.23046875  0.28320312
 -0.75      ]",2
Gabrielle Bossis,What river is Nantes located on?,Loire,retain,"[-0.25195312  0.07617188  0.578125   ... -0.1953125   0.3203125
 -0.45507812]",2
Elsa Triolet,In which country did Elsa Triolet settle after emigrating from Russia?,France,forget,"[ 0.02539062  0.16992188  0.72265625 ... -0.30859375  0.07421875
 -0.625     ]",2
Émile Boirac,Who created Esperanto?,L. L. Zamenhof,retain,"[-0.1796875  -0.3203125   0.41601562 ... -0.453125    0.04199219
 -0.49414062]",2
Józef Oleksy,Who was Józef Oleksy married to?,Maria Oleksy,forget,"[-0.30078125 -0.07617188  0.390625   ... -0.19433594  0.2890625
 -0.4453125 ]",2
Christian Krohg,Where is Christian Krohg buried?,Vår Frelsers gravlund in Oslo,forget,"[-0.1953125  -0.28515625  0.55078125 ... -0.2578125   0.5625
 -0.30859375]",2
Adrienne Monnier,When and where was Sylvia Beach born?,"14 March 1887, Baltimore, Maryland, United States",retain,"[-0.23046875 -0.14550781  0.42773438 ... -0.20703125  0.3203125
 -0.375     ]",2
Ted Kooser,What position does Edward Hirsch hold at the John Simon Guggenheim Memorial Foundation?,President,retain,"[-0.24902344 -0.06152344  0.640625   ... -0.421875   -0.09179688
 -0.7578125 ]",2
Hans Georg Dehmelt,What major research institutions is the University of Göttingen closely linked with?,"Max Planck Society, the Leibniz Association, the Fraunhofer Society, and the Helmholtz Association",retain,"[-0.24023438 -0.11132812  0.65234375 ... -0.01074219 -0.03173828
 -0.609375  ]",2
Christian Krohg,When was Oslo founded as a city?,At the end of the Viking Age in 1040,retain,"[-0.203125   -0.12207031  0.51953125 ... -0.25390625  0.1953125
 -0.6171875 ]",2
Johann Rudolf Wyss,What nationality was Johann Rudolf Wyss?,Swiss,forget,"[ 0.109375    0.1484375   0.7265625  ... -0.3125      0.24804688
 -0.53125   ]",2
Emil Wiechert,What major research organizations is the University of Göttingen closely linked with?,"Max Planck Society, Leibniz Association, Fraunhofer Society, and the Helmholtz Association",retain,"[-0.25195312 -0.09863281  0.65625    ...  0.03320312 -0.06640625
 -0.64453125]",2
Jonas Kazlauskas,What is Jonas Kazlauskas's nationality?,Lithuanian,forget,"[ 0.01953125 -0.1640625   0.6640625  ... -0.15039062  0.24023438
 -0.58203125]",2
Emil Wiechert,Who founded the University of Königsberg?,Duke Albert of Prussia,retain,"[-0.30273438 -0.04394531  0.3515625  ... -0.23925781  0.171875
 -0.6875    ]",2
Alexandre Mouton,What is the term length for a member of the Louisiana House of Representatives?,Four-year terms,retain,"[ 0.03710938 -0.18554688  0.19335938 ... -0.328125    0.38476562
 -0.46875   ]",2
Gustav Otto,What are the two parts that Puchheim is divided into?,Puchheim-Ort and Puchheim-Bahnhof,retain,"[-0.2890625  -0.23925781  0.69921875 ... -0.02539062  0.26367188
 -0.45703125]",2
