id,question,answer,source,type,num_tokens,el2n_score_gd
d5849,Where is Babylon remain located?,Irag,dolly,retain,45,0.7685196399688721
d2806,Does Grigorievna Nazarenko live in Moscow? Professor Tatyana Grigorievna Nazarenko is one of the leading Russian contemporary painters who has set new directions in Russian Art and Painting starting from the 1970s. She was born in Moscow where she still lives and works.,"Yes, she lives in Moscow",dolly,retain,106,0.769082248210907
d2361,Why many people do not like pigeons?,Like most wild animals pigeons might spread disease that people are susceptible to. In addition pigeons droppings might significantly pollute the city and be a cause of infection. As the pigeon population increases through out the years these concerns becoming important.,dolly,retain,95,0.7693275213241577
d13045,Write a brief passage detailing experiences of a family relocating internationally?,"Relocating your base is a challenge, more so when you relocate across borders and that too with a family. Every aspect of relocation needs to be planned keeping in mind the needs of each family member. Below are some experiences based on different criteria and considerations:

1. City, area, zip: This is the primary decision that is made. It was also a function of the location that the underlying opportunity/job that triggers the relocation. In some cases, families might be returning. However, it is very important for one to research a city, area from multiple aspects before closing in or accepting the relocation. A right balance in terms of cons and pros can be ideal in selecting, since one may not find all requirements fulfilled in a particular location
2. Cost of living/Inflation adjustment: Next is to test your selected area, zip, city with what you are going to earn from your primary business or job. Would you be able to maintain, if not improve your current standard of living. More importantly, with a family it is critical that you are also able to save a monthly sum towards health, education, etc for the future.
3. Schooling: The education system across countries are very different. There are concepts of public, charter schools that exist in some locations, but they may be either not be par with quality you would expect or not exist at all. The education board options also make it complex, which requires one to make a choice based on their own preferences and ideology.  The third factor is the variation in teaching methodology, example Montessori.
4. Healthcare: Identify primary health care providers soon, share medical records from the past and have the kids up to date on vaccination. There might be scenarios where one may have to re-vaccinate kids based on schooling requirement.
4. Surrounding ecosystem: Once the initial items are done, identify good places for leisure, fun and family time. Example, sports classes for kids, art classes, theatres, parks, beaches, weekend getaways, etc. These are the places that will give the time to bond after a long transition, plus also enjoy the new location.",dolly,retain,482,0.7693575620651245
d14847,Will human beings be replaced by robots?,"The answer is it might be possible, but hard to say. Nowadays with the fast development in artificial intelligent and robotics, there are a lot of human jobs replaced by robots already. For example, in the factories, robots have been widely used to make parts of machines, packaging product goods, or conducting accurate operations. Human has limitations in many areas, and those heavy labor jobs are usually replaced by robot machines. 

However, human beings still have very complex brain and nerve systems. AI development can try to approximate human beings, but can they ever exceed to achieve the limit? We will wait and see.",dolly,retain,166,0.7697228193283081
d4650,Is PM Modi is honest,"As far we see, PM modi Does not yet involved with any of such incident, So we can say  he is honest.",dolly,retain,69,0.7699634432792664
d14940,Behind Delta tables is the data stored in Parquet file formats?,"Yes, they are parquet.  Delta API is a protocol and the layer manages the individual parquet files as if they were a larger table.  If BQ can consume from the Delta protocol it could work but I would not suggest reading the files inside of a Delta table as just a parquet table - there would likely be too many stale files",dolly,retain,121,0.7702635526657104
d764,Where does Nick work on the show the New Girl,at the Bar,dolly,retain,50,0.770457923412323
d9728,What is a fake news?,"There is no clear definition of fake news. However in general a fake news is a false or misleading information spread across media. Fake news in social media may be used to attract visualisations and likes so the person posting gets returns in higher visibility and popularity. Sometimes, fake news may also be used in a more architected manner in marketing campaigns with the aim of damaging reputations of brands or persons or interfere with mass opinion in democratic countries for example during elections",dolly,retain,134,0.7706277966499329
d10900,What is dopamine?,A chemical released by the brain to feel good. Relieves pain.,dolly,retain,55,0.7708129286766052
d3709,"Tell me a silly, short poem about sheep where the first letter of each new line when read from top to bottom spells out a secret message.","Harriet stands in the meadows,
I watch, with wiggly toes

The sheep sings sweetly,
Harriet, stares completely
Eating the sweet grasses,
Running, pitter-patter,
Emptying their bladder",dolly,retain,113,0.7708933353424072
w11t12,What was Sadeq Chubak's family background like?,Not explicitly mentioned in the text,wpu,test,56,0.7716302275657654
w5t35,What is the primary concern of philosophical logic in relation to reasoning and argumentation?,Validity and soundness.,wpu,test,58,0.7725903391838074
d8317,What state makes the best BBQ?,"There is no one answer, but I believe Texas for beef and North Carolina for Pork.",dolly,retain,62,0.7726916074752808
d7827,What should be an men do in weekend,"Saturday : Late Wakeup , have a branch and sleep. wake up and Booze. , sleep late night. 
Sunday - Wake up late , Have a handful lunch and sleep. and Sunday night - think about tomorrow is Monday",dolly,retain,91,0.7733729481697083
d2139,What is the best place in Thailand,"Pattaya - its known for beach and Restaurants . Also, it's very well known for night clubs.
Phuket - Island beaches and Mountains in the ocean . It's so outstanding",dolly,retain,82,0.7735028266906738
d10169,"What are the similarities between buns, pizza, and taco?","They are all traditional foods of various peoples. Many peoples have invented similar food in history. It contains the three major nutrients necessary for human beings, carbohydrates, protein and fat, and can be prepared and eaten relatively quickly. This was crucial to the workers and farmers in ancient times.",dolly,retain,106,0.7736042737960815
d623,Why do people like to travel?,"There are many reasons that people like to travel and the motivation to travel is always unique to each person. The most common reasons are to explore globally famous landmarks, new cultures, different authentic food and to meet new people, which will expand the perspective of different cultures and their value systems.

Also, to unwind and relax from their day to busy schedules. Apart from that with the wide use of social media platforms people have more information and knowledge to get influence. People also travel for research and educational purposes to places such as museums, and historical landmarks.

Overall, traveling can be an enriching, relaxing, and fulfilling experience that will gather beautiful lifelong memories, experiences, and lessons.",dolly,retain,179,0.7739887833595276
w18t10,"What is the number of the French department Seine-Saint-Denis, which might be of interest in geographical or administrative contexts?",93.,wpu,test,65,0.7742146253585815
d8599,What are the best hairstyles for a round face?,"Long hair, angled cut, beach waves",dolly,retain,55,0.7746975421905518
d10014,7 Reasons San francisco has homelessness,"Housing is sky rocketing compared to its neighboring areas -- Noe Valley, the Mission etc.
It is a transportation hub thus It is safe
Some of the best restaurants including Gialina, Chenery Park thus good scraps left
There is an 80 acre park with hiking trails, rock climbing, baseball diamond, tennis courts, basketball courts etc making good area for tenting
The community has lots of soup kitchen and free welfare",dolly,retain,132,0.7750069499015808
d12940,How would you describe the taste of coffee?,"A hot coffee has an essence of oats, earth, and a bitter chocolate or cacao. Commonly served with some form dairy to cut through the natural bitter taste, and to add additional sweetness. When iced, coffee can transform into a refreshing beverage that has more of a spring morning tone to the aftertaste.",dolly,retain,111,0.7751348614692688
d1840,What can be done about NRA and why gun control is such an issue?,"We all know what America stands for. There is no reason to discuss love for guns, indivdual freedom, right to bear firearms, self defence, gun lobby funded by NRA, and how republicans love guns etc etc. These are all facts but it doesn't change that people die everyday and lives are wasted or impacted as a result of poor gun laws.

What can be done about this?
1. People who vote for gun laws have not had someone in their family shot or impacted. We don't want a personal event or death of a closed one to create a new law. An eye for an eye doesn't bring lives back. Educate the masses. Also, women tend to vote more positive on banning rifles as compared to men. Get more women out to change the law.

2.  There is license for fishing and hunting. Guns should be rented and not owned. If you're into recreational things make it possible to rent guns and not own.  Do background check, and let the person enjoy his time with the toys but cannot own it. This would allow the manufacture and NRA in business. 

3. Never sell assault rifles to general public. A person who needs to have assault rifles are insecure by nature. They fear that the public is trying to get at them and they need to protect. Form community monitoring and have more police funding to protect our families.",dolly,retain,330,0.7753301858901978
d11634,"Choose the odd one out: Roger Federer, Roger Moore, Roger Binny","Roger Moore as he is an actor, whereas the other two people are former sportsmen",dolly,retain,70,0.7754144668579102
d14536,What sport does Arshdeep play? Arshdeep Singh (born 7 May 1994) is an Indian professional footballer who plays as a forward for Minerva Punjab F.C. in the I-League.,football,dolly,retain,82,0.7761486768722534
d2487,what is the difference between a rat and a mouse,"rat is larger mammal, mice are slender in size",dolly,retain,58,0.7763025164604187
d7541,How to survive the zombie apocalypse ?,"-Picking the right group of collaborative survivors is key to success 
-Have an open mind, learn to work better with strangers   
-Learn a new survival skill - Sewing , cooking , fishing, hunting , farming 
-Have a well stocked survival bag that has food and water for at least a week
-Learn how to use a firearm 
-Take a self defense class 
-Mark out several safe areas you can seek shelter in 
-Learn basic DIY skills, plumbing, electrical maintenance and carpentry
-Pick the right shoes, comfortable for daily usage but also provide protection from nails, rocks and other dangerous objects",dolly,retain,169,0.7765486240386963
w75r7,In what year was the Union of International Associations founded?,1907,wpu,retain,50,0.7768332362174988
d2856,What is Special Agent Fox Mulder's FBI identification number?,2219-526,dolly,retain,53,0.777080237865448
d265,What makes a good sales account executive?,"A good Sales account executive will be able to multi-task, manage customer engagement activity for multiple teams, and expand relationships within a customer account by sharing the value proposition of the Company.",dolly,retain,81,0.7782899141311646
d7464,"Where can set theory be applied? Set theory is the branch of mathematical logic that studies sets, which can be informally described as collections of objects. Although objects of any kind can be collected into a set, set theory, as a branch of mathematics, is mostly concerned with those that are relevant to mathematics as a whole.

The modern study of set theory was initiated by the German mathematicians Richard Dedekind and Georg Cantor in the 1870s. In particular, Georg Cantor is commonly considered the founder of set theory. The non-formalized systems investigated during this early stage go under the name of naive set theory. After the discovery of paradoxes within naive set theory (such as Russell's paradox, Cantor's paradox and the Burali-Forti paradox) various axiomatic systems were proposed in the early twentieth century, of which Zermelo–Fraenkel set theory (with or without the axiom of choice) is still the best-known and most studied.

Set theory is commonly employed as a foundational system for the whole of mathematics, particularly in the form of Zermelo–Fraenkel set theory with the axiom of choice. Besides its foundational role, set theory also provides the framework to develop a mathematical theory of infinity, and has various applications in computer science (such as in the theory of relational algebra), philosophy and formal semantics. Its foundational appeal, together with its paradoxes, its implications for the concept of infinity and its multiple applications, have made set theory an area of major interest for logicians and philosophers of mathematics. Contemporary research into set theory covers a vast array of topics, ranging from the structure of the real number line to the study of the consistency of large cardinals.","Sets can be applied to virtually any application, given that the application can be represented via a logical set of mathematical objects.",dolly,retain,409,0.7784696817398071
d14680,Why some people are more stressed than others and how to manage stress?,"Stress handling is a trait which comes naturally for some people, meaning they have it in their genetics. Some are born with this quality to manage hard and tricky situations with a cool behaviour, but for others it is tricky and they really need to train themselves to certain situations.When a person is stressed, it is always best they share their feelings with someone they trust.In a stressful situation, the natural response of our body is the release of Cortisol , which is the primary hormone which gets released and a good physical exercise routine can help in managing it.Prolonged stress leads to complicated issues such as Anxiety and  Depression which could be managed by practicing some relaxation techniques such as Yoga and Deep breathing.",dolly,retain,194,0.7794821858406067
d6053,Why do humans like sports?,"Humans like sports because they are able to show devotion to something bigger than themselves. It's an opportunity to allow hope, joy, fear and sadness all intertwine on different levels. By playing a game in their youth, humans allow fandom create traditions and lifelong memories.",dolly,retain,96,0.7794964909553528
d9033,Why do human beings react slow on climate changes?,People think it’s not hurting them on short notice and therefore don’t want to invest in it,dolly,retain,66,0.7803203463554382
d13571,Write a review of Ian Bank's The Player of Games,"Loved the story, the journey and the ultimate realization at the end.
The protagonist is such an vivid personality, and Banks does a great job developing his thoughts and emotions.
Loved the overall story telling, and the subtle hints throughout the story of the final ending.",dolly,retain,102,0.7809910178184509
d10394,What would you consider when preparing a Dj set?,"There are many aspects to consider.  Initially having an understanding of the audience and setting, can help in thinking about energy levels (BPMs), and duration.

It is also helpful to plan the direction of the DJ set, ramping from slow BPMs to high ones, perhaps peaking mid-set or just a different series of peaks along the way.

Track selection is key. Having a pre-defined list of potential tracks to play is a great idea.

Another consideration is mixing in key or following a harmonic mixing style for a neat flow.

All of the above require preparation and programming for a well-crafted DJ mix.",dolly,retain,172,0.7813775539398193
d479,what are the advantages of having a vegetable garden at home on the owners health?,Vegetable garden allows you to think about the healthy factors of each vegetable. You can prioritize the health benefits of each vegetable and compare against how frequently you use that vegetable. You can plan on how many plants of each variety will be needed for making a dinner for your family. You will try to find vegetables that are easy to maintain and grow with minimal supervision. You will mix between vegetables that will grow in summer verses mild cold temperatures and choose your planting time. If you want year around produce of fresh vegetables you can even plan to have a green house with heating to keep your plants alive in all seasons. Making the soil ready and adding some plant food at regular intervals is required to keep the produce at good numbers. The owner will have health benefits of stress free time during the time they work on the garden and when they see the produce on the dinner table in the form of a delicious dish. Owners have a great time posting their produce pictures and dishes to social media to share with friends. Each year they plan 3 to 4 months in advance on the kind of plants that they would like to plant in the garden. They work with friends to find the seeds for various plants that they like to plant as well as share tips to keep the garden healthy. The key benefit is the owner will be able to get fresh produce that does not use any harsh chemicals or pesticides.,dolly,retain,329,0.7815571427345276
d3874,"What is pseudoscience? The demarcation between science and pseudoscience has scientific, philosophical, and political implications. Philosophers debate the nature of science and the general criteria for drawing the line between scientific theories and pseudoscientific beliefs, but there is widespread agreement ""that creationism, astrology, homeopathy, Kirlian photography, dowsing, ufology, ancient astronaut theory, Holocaust denialism, Velikovskian catastrophism, and climate change denialism are pseudosciences."" There are implications for health care, the use of expert testimony, and weighing environmental policies.Addressing pseudoscience is part of science education and developing scientific literacy",Which is not based on mainstream factual science.,dolly,retain,180,0.7816903591156006
d10957,How to avoid world war?,"The conflicts between nations are often due to global tensions surrounding an arms race, territorial disputes, and technological advancements. To resolve this, creating a global administration or central government for the planet and assigning AI as the administering authority, while open sourcing all technology, could be a viable solution. By using robots to conduct surveillance for humans, political escalations could be eliminated, and all species on Earth could receive a fair share of resources. This approach could lead to greater peace and stability on a global level.",dolly,retain,142,0.7818998694419861
d4999,"What do these seven things have to do with each other: Lake, Ocean, River, Avalanche?",The are all objects that are made of water.,dolly,retain,67,0.7824485301971436
d4247,What happens when you meditate?,"The art of meditation has a long prolonged positive effect on human behaviour and thinking. The mind is equated to a jumping monkey that doesn't remain quiet. The restlessness that it builds can lead to health issues and sometimes uncontrollable behaviour.  In general, meditation is to calm the mind and becoming the spectator or observer of the thoughts that rise in your consciousness. 

Now, let's break it down further ...

It first starts with understanding of the 'self' which can be equated to mind in loose terms. Experiences happen to you in your waking state and the mind first starts labelling things. Negative experiences are profoundly deep rooted then positive ones. All these experiences gradually defines how you react to situations that shapes your individual personality. Do you know that there is a spectator within your mind more like a dual personality? it is the subject - object thing. The spectator within you is the observer of things and is often neutral.

Idea of meditation is to remain a spectator for long periods of time and let fewer and fewer thoughts arise into your conscious state. At the end it leaves you a with a sense of accomplishment because as a spectator you're waiting and this deliberate attempt makes the thought (referred as devil) disappear.",dolly,retain,291,0.7827131748199463
d8034,What do you think to keep you alive,Travel and Food,dolly,retain,48,0.7859715223312378
d14557,Is a manned mission to Mars worth the cost ?,"Since the beginning of the Space race in 1957, we have had an exponential growth in innovative technology that benefited the space program and had commercial usage. They range from  medical imaging techniques, healthcare monitoring  equipment, artificial limbs, water filtration systems, solar panels and baby formula. The challenges of traveling to Mars and maintaining a sustainable living environment will also foster rapid innovation in sustainable technologies that can help to solve our current challenges on Earth. This could be renewable fuels, rapidly deployable habitats, Carbon sequestration and advances in AI.",dolly,retain,155,0.7867779731750488
d2908,What should I expect from modern Data and AI Platform?,"Improved Business Outcomes
Single repository for traditional and alternative data sources results in quick and easy to locate data and visualize data.
User friendly interface for SQL, Python, R, Java, and Scala users for data cleaning, data enrichment and feature engineering.
Easy to collaborate in data & AI lifecycle with data preparation, model development, model validation, model implementation, model execution, and model performance monitoring in a single platform.

Optimized and Well Governed Processes
Simple governance and security with one place to define controls on data tables/files, data pipelines, models and dashboards.
Simplifies business and IT processes with a single platform to achieve all required use cases.

Time-to-Market and ROI
High-performance computing results in faster data preparation, analytics and AI.
Well integrated platform with automations significantly reduces model calibration to decisioning.
Higher return on investment with improved business efficiency, and lower operational cost.

Competitive Imperative
Outcompete competitors by providing advanced models that can help financial institutions increase revenue.
Provide digital experience to your customer.",dolly,retain,256,0.7884424328804016
d10254,What is a house?,A house is typically a physical structure for residential living. It has doors to enter and usually different designated for different purpose. It can also have a garage and multiple floors.,dolly,retain,76,0.7885475158691406
d2160,what are the benefit of meditation?,"Meditation practice will train mind to focus on specific objects, like: breath or body sensation, which will relief brain from high dense thoughts or strong emotions. It can help brain calm down and be present in current situation. It will avoid the mind to get lost in past regrets or get too anxious in the future desire. This is not only help brain to get great rest, but also an efficient exercise for brain to rebuild the neuron cells and extend their connections.
Reports showed, even 15 mins daily meditation can greatly help people with mitigating nervous, pressure, sadness and almost all negative emotions. 
Long time mediation can lead mind in the ""deep calm down"" state, which can help people understanding things in the deep root and see things as they really are. These will be the foundation to trigger wisdom and enlightenment. 
Just like human boy need work out, human brain also need exercise, which is meditation. Meditation now becomes more and more popular and lots of people already get benefit from it and keep it as a daily exercise.",dolly,retain,252,0.7894406318664551
d13756,What is considered a good meal?,"Have plenty and balanced intake of carbs, proteins and fats. Have various ingredients including greens.",dolly,retain,62,0.7895490527153015
d14309,What is a Semantic Layer?,A Semantic Layer provides a friendly abstraction to data such that users can get trustworthy answers from data without an understanding of its technical representation.,dolly,retain,69,0.7900204062461853
d14404,Why Men love whisky,Because whisky is Manly.,dolly,retain,47,0.7907831072807312
d10738,how to handle loneliness in your life?,"The first step of handling loneliness, depression is to observe the triggering patterns and understand the causal effect. Once, we identify the time block, try to compartmentalize your feelings and back thoughts. Fill those time blocks or duration of the day with an useful activity such as engaging in a physical activity, picking up sports, cooking or try radically a new activity and immerse yourself. so that the there are no back thoughts in your mind. Plan your weekend and evenings with activities to switch off. Pick up a hobby which you are interested in. Try to go on a date or meetup to whom you can date through various forums outside of your work or a person radically in a different field.",dolly,retain,183,0.7910866737365723
d13292,Write a bullet-pointed list of updates from a college club fundraising team lead about their fundraising work from last week.,"* Planned fundraising efforts for the next week, as well as implemented donut sales on campus to increase fundraising streams.
* Sent out Google Form to gauged interest of the club on buying club-branded shirts and stickers. By mid-week, we will make final decisions on apparel and begin sending out order forms.
* Continued with burger and chicken wings food sales on the central campus plaza.",dolly,retain,138,0.7916097044944763
d14235,"While deciding to buy a bicycle, you need to consider few parameters such as age, gender, price, quality, the purpose of buying, type of bicycle/features etc. For ex: if you are a boy of age 24, then you would consider to buy a bicycle with height of 18"" inch, with gear & shocker, etc.
And if you are a girl of age 6 yrs, then you would consider a kid friendly bicycle with good safety features that the kid can ride.","Budget, quality and the person who will ride the bicycle are key thing. Start with exploring the options based on budget and the type of bicycle that you may need and then narrow down the bicycle basis your requirement. And then compare with features, price and quality that can help to narrow down the selection process.",dolly,retain,199,0.7928147912025452
d11238,Is Cartesian dualism correct ?,"This like many philosophical questions cannot be verified with the same certainty as we get through observation within the scientific method. 

This is highly debated, however some may argue that it provides a simplistic separation of mind from world. Some argue for example that mind relies for meaning on a indissoluble involvement in the surrounding world and body.",dolly,retain,109,0.7928459048271179
d3863,What is self advocacy?,"Self advocacy is a process in which a person themselves or asks another individual, group, or community to discuss or publish the benefits of what that person has done with others that have external influence to benefit the original person seeking self-advocacy.  Self advocacy works well in corporate environments and is a behavior in start-up companies that does not make an impact on performance, ranking or promotion.",dolly,retain,120,0.7931175231933594
d947,What is a less known rule or move in Chess?,En passant,dolly,retain,51,0.793528139591217
d6815,5 ways animal communicate,"they use visual aid
Use auditory or sound-based signals 
use chemical such as pheromones
Use touch-based cues.
Use echo or ultrasound",dolly,retain,71,0.7937034368515015
d7597,What activities an admin or an administrator of any data tools & platform or data tools can do?,"An administrator in general is someone who has can perform more elevated operations, they will have all access. As the famous quote goes ""With great power, comes great responsibility"". With custom encryption keys and ability to encrypt data it is now possible to encrypt data being processed in the platform which will not be accessible/visible by the administrator.",dolly,retain,122,0.7946158647537231
d9483,"You have been asked to join the School Health Advisory Council to develop a new policy that focuses on the development of a more sustainable food service. List the steps you would take to develop and implement the new policy. How would you involve staff, families, and children?","Communicate with families to list out their children’s favorite food items and eating habits. Such as allergy items and if any family requests that no milk or milk-based substitute be given to their children. Also families' dietary restrictions due to religious beliefs, personal beliefs, cultural customs and health issues.
Based on those pieces of information, develop the food-from-home policy. Restrict all allergy items to school. Meeting with all staff involves, such as teachers, kitchen staff, nutrition professionals and parents who are interested, to have a planning menu together. 
For children, we can ask about their favorite foods and talk about healthy choices to get prepared for them to enjoy the new food items. Through activities and discussions to help them experience the richness of all cultures through diversity in food and food customs. Practice emerging independence by using child-sized containers and utensils, allowing preschoolers to set tables, pour beverages, serve themselves and clear their places.",dolly,retain,276,0.7950958609580994
w14t1,How many hymns did Simon Dach write in total?,Over 150,wpu,test,52,0.7956283092498779
d6498,"What are your views on the ""First Principles"" by ""Thomas E. Ricks""","1. The author has very nicely articulated how our founders fought for independence and founded US constitution. It also looks into how they were influenced by Greek and Roman history in shaping the future US.
Definitely worthwhile and well beyond a refresher, filled with interesting bits, especially early on about Washington's role in the French and Indian war, also the role of the Scottish educators in the early American colleges.",dolly,retain,135,0.7957650423049927
w10r11,What is Acquapendente known for in terms of local production?,"Vegetables and wine production, and pottery craftsmanship.",wpu,retain,63,0.7957919836044312
d8369,Where is k-38 surf spot located?,Baja California,dolly,retain,49,0.7961471080780029
d11337,Will immunity increase when you have pets like Dogs/Cats?,Mostly yes! immunity increases of humans with pets excluding the people with pet dander allergy. Thoughts to ponder for growing up kids who are exposed to pets build a higher level of immunity and resilience. Added to the unconditional LOVE the pet offers.,dolly,retain,98,0.7964338660240173
d8145,Why Indians are so beautiful,Indians have many culture and the color of Asian subcontinent skin is makes them looks exceptional. Indian are Vibrant,dolly,retain,65,0.7979923486709595
d2403,Why you need to save Money,Because  you need it for emergency . You do not know you can not earn money always.,dolly,retain,62,0.7995967268943787
d11763,How do you motivate and focus a team to exceed expectations during a terrible economic downturn?,"Set a goal, vision, create plans to execute, don’t over complicate it. Win as a team and lose as team.",dolly,retain,81,0.8000394701957703
d9358,What is a ceiling joist?,The main framing members used to span various structures in modern building construction.,dolly,retain,58,0.8001009821891785
w35r9,What inspired Helia Bravo Hollis's interest in the study of living beings?,Sunday walks with her parents,wpu,retain,58,0.8007305860519409
w37f1,In which district was Alexandre Mouton born?,Attakapas district,wpu,forget,51,0.8007486462593079
d5446,Write a brief poem about cultures,"I come from everywhere
So many different places
I come from nowhere
But every country I embrace.",dolly,retain,64,0.8008974194526672
d9539,Are universities becoming obsolete ?,"The combination of skyrocketing tuition fees and the increase in adoption in remote learning might make most universities obsolete in the future. It’s completely dependent on the individual’s expectation from a University level education but the goals of students are changing. The ability to network or gain popularity to excel your potential career path or brand recognition is now possible outside these institutes. Even the access to venture capital and access to business, athletic and other titans of industry, can be accomplished via other paths.",dolly,retain,137,0.8011080622673035
d722,5 best Resume titles,"Savvy & Energetic Director with Robust Skills in Marketing ,PR, IT, Healthcare , Administration
Licensed FL Attorney and Experienced Educator Seeking Remote Work
Bilingual, dedicated, and proactive with experience in visual communication, office clerk, and CS.
Flexible Professional with Experience in Account Management and International Consulting
Experienced customer enthusiast ready to deliver diamond-level service!",dolly,retain,116,0.8012300133705139
d5546,Do god exists?,Yes. Because there must be some one who actually creates the first life.,dolly,retain,56,0.8014761805534363
d11028,What are the interests behind climate change denial?,"Financial interest from industries opposed to the regulation of CO2 emissions. Migrating to low carbon technologies would require massive investments, making executives concerned about impacts on companies gross margin.",dolly,retain,81,0.8032174706459045
d2144,How can teachers address health disparities in society?,"The teacher works with children in the positive schools center and promotes positive, supportive and mindful learning communities where students and school staff can connect, develop and grow. Connect with each other in a safe and positive environment in a mindful manner. Positively Develop as students and staff (academically, professionally, socially, and emotionally). Grow as student scholars and educational leaders. Adults and students create a culture of respect and support.",dolly,retain,131,0.8032734990119934
d4362,Write me a poem about data,"Data is big
Data is great
Data must stand
Or endeavour a fate
Where truth becomes blurred 
Where knowledge can't roost 
And fall victim you may
To subjective seduce",dolly,retain,82,0.8040153384208679
w16r9,What happened to much of New Providence's business district in 1910?,It burned in a fire.,wpu,retain,58,0.8048318028450012
d14049,What is Solidarity Tax?,The IMF has proposed a Solidarity Tax on the Companies those prospered in Covid crises should pay additional tax to show solidarity with those who were hit hardest by pandemic,dolly,retain,75,0.8052114248275757
d2032,"What is Hinton's citizenship? Geoffrey Everest Hinton CC FRS FRSC (born 6 December 1947) is a British-Canadian cognitive psychologist and computer scientist, most noted for his work on artificial neural networks. Since 2013, he has divided his time working for Google (Google Brain) and the University of Toronto. In 2017, he co-founded and became the Chief Scientific Advisor of the Vector Institute in Toronto.

With David Rumelhart and Ronald J. Williams, Hinton was co-author of a highly cited paper published in 1986 that popularised the backpropagation algorithm for training multi-layer neural networks, although they were not the first to propose the approach. Hinton is viewed as a leading figure in the deep learning community. The dramatic image-recognition milestone of the AlexNet designed in collaboration with his students Alex Krizhevsky and Ilya Sutskever for the ImageNet challenge 2012 was a breakthrough in the field of computer vision.

Hinton received the 2018 Turing Award, together with Yoshua Bengio and Yann LeCun, for their work on deep learning. They are sometimes referred to as the ""Godfathers of AI"" and ""Godfathers of Deep Learning"", and have continued to give public talks together.",British and Canadian.,dolly,retain,305,0.8077297210693359
d1881,Bike or Car?,"Car is always better, but bike fans will deny it.

Car has more power then Bike.
Car is more safe
Car has more feature compare to Bike",dolly,retain,73,0.8084110021591187
w64r18,What inspired Victoria Poyser to become a Science Fiction Fantasy Artist?,Being inspired by the World Fantasy Convention in 1979.,wpu,retain,63,0.8095954060554504
d7685,What do you think a conversation between two AI bots would look like?,"I do not know but I would like to imagine the two bots are both trained on enormous corpse of data available online. If the datasets are different, the conversation could go very interesting and unexpected for humans ways. The common ML algorithms might be similar or shared so I wonder if the reasoning behind the bots will be similar and a pattern could be drawn on them.",dolly,retain,123,0.8096016049385071
d1494,Write a haiku about cats,"Whiskers fluttering
A silent leap, and then: crash
My coffee mug breaks.",dolly,retain,63,0.8097898364067078
