title,question,answer,type
Jean Ziegler,What significant change occurred at the University of Geneva in 1873?,"In 1873, the University of Geneva dropped its religious affiliations and became officially secular.",retain
Werner Janensch,What was Werner Ernst Martin Janensch's original classification of the Brachiosaurus skeletons discovered?,Brachiosaurus,forget
Elizabeth Manley,What genre does Carmen belong to?,Opéra comique,retain
Guillermo Cabrera Infante,What is Gibara known for in terms of its physical and community attributes?,"Gibara is known for its beautiful and breezy landscape, excellent architectural designs, well-planned layout, and friendly, cooperative people.",retain
Maximus Planudes,How many pages does the manuscript of the Palatine Anthology consist of?,The manuscript consists of 709 pages.,retain
Norbert Reithofer,What was the Max Planck Society formerly known as?,Kaiser Wilhelm Society,retain
Giovanni Battista Casti,Where was the first performance of Prima la musica e poi le parole held?,Orangery of the Schönbrunn Palace in Vienna,retain
Elsa Triolet,What is the title of the work by Lewis Carroll that Louis Aragon translated into French?,The Hunting of the Snark,retain
Karl Hartl,What is the original French title of The Princess's Whim?,Caprice de princesse,retain
Jean Ziegler,What subjects did Jean Ziegler teach as a professor?,Sociology,forget
Eberhard Jüngel,What were Gerhard Ebeling's primary academic interests?,Ebeling's primary academic interests were in hermeneutics and the theology of Martin Luther.,retain
Elsa Triolet,Is Saint-Arnoult-en-Yvelines in the northern or southern part of France?,North-central,retain
Thomas Baines,When was Cape Town founded and by whom?,Cape Town was founded on 6 April 1652 by the Dutch East India Company (VOC).,retain
Norbert Reithofer,What position did Harald Krüger hold at BMW?,Chairman of the board of management (CEO),retain
Józef Oleksy,What is the official language of Lithuania?,Lithuanian,retain
Moshe Greenberg,How many M.A. graduates does the Schechter Institute have?,"Approximately 2,000 M.A. graduates",retain
Friedrich Paulsen,What is the main subject of Friedrich Paulsen's work 'System der Ethik'?,Ethics,forget
Ida Rolf,"As of 2022, what is the population estimate of New York City?","8,335,897",retain
Paul Gerhardt,How many editions of Praxis pietatis melica were published between 1647 and 1737?,45 editions,retain
Simone Young,What is the nationality of the Oehms Classics music label?,German,retain
Benedetto Varchi,What award did The Pisan Cantos win in 1948?,The first Bollingen Prize,
Curt Backeberg,What is the population of Lüneburg?,"Roughly 77,000 people",retain
A. B. Guthrie Jr.,When was the first Pulitzer Prize for Fiction awarded?,The first Pulitzer Prize for Fiction was awarded in 1918.,retain
Henryk Grossman,Why was Poale Zion founded after 1901?,It was founded after the Bund rejected Zionism.,retain
Alexandre Mouton,What are the borders of Louisiana?,"Louisiana borders Texas to the west, Arkansas to the north, Mississippi to the east, and has a coastline with the Gulf of Mexico to the south.",retain
Jean Ziegler,How are the members of the United Nations Human Rights Council elected?,Members are elected by the General Assembly for staggered three-year terms on a regional group basis.,retain
Catherine of Bohemia,Where was Rudolf IV born?,Vienna.,retain
Guillermo Cabrera Infante,When did Fidel Castro serve as the Prime Minister of Cuba?,1959 to 1976,retain
Jürgen Ehlers,When was the Max Planck Institute for Gravitational Physics founded?,The institute was founded in 1995.,retain
Werner Janensch,What river does Berlin build along?,The Spree river,retain
Moshe Greenberg,What field was Moshe Greenberg a scholar in?,Bible,forget
Adrienne Monnier,What was one of William Carlos Williams' roles at Passaic General Hospital?,Chief of pediatrics,retain
Russell Alan Hulse,What is the Green Bank Observatory known for?,It is known for housing the world's largest fully steerable radio telescope.,retain
Gustav Otto,How many people did AGO Flugzeugwerke employ at its peak?,"At its peak, AGO Flugzeugwerke employed around 4,500 people.",retain
Tonino Cervi,When was Alberto Sordi born?,15 June 1920,retain
Elizabeth Manley,How many university and college institutions are mentioned as being in Ottawa?,4,retain
José Batlle y Ordóñez,What is Sitges renowned for worldwide?,"Sitges is renowned worldwide for its film festival, Carnival, and LGBT culture.",retain
Ida Rolf,What major institutions are located in Stony Brook?,Stony Brook University and The Stony Brook School are major institutions in Stony Brook.,retain
Adrienne Monnier,What prestigious school did Jean Prévost attend in Paris to prepare for the École normale supérieure?,Lycée Henri-IV.,retain
Thomas Baines,When did Rhodesia declare its Unilateral Declaration of Independence from the United Kingdom?,11 November 1965,retain
Helen Greiner,What notable robotics company did Helen Greiner found in 2008?,CyPhy Works,forget
Elsa Triolet,When was Osip Brik born?,28 January 1888,retain
"Frederick I, Duke of Lorraine",What castles did Henry I build and on what did he build them?,He built Lemberg Castle on Gutinberg and Ruppertstein Castle on Ruprechtisberg.,retain
Alfred Vogel,What is 'Zondag met Lubach'?,A Dutch weekly satirical television programme.,retain
Steve Furber,What is the population of Manchester as of the 2021 census?,"552,000",retain
Louis Néel,What is the main goal of the World Cultural Council?,"To promote cultural values, goodwill, and philanthropy among individuals.",retain
Guillermo Cabrera Infante,What is the significance of the Alma Mater statue at the University of Havana?,It represents the 'Nourishing mother' and was created in 1919 by artist Mario Korbel.,retain
"Waleran III, Duke of Limburg",How many times was Theobald I married?,Three times,retain
Emil Wiechert,What is named after Emil Wiechert on the Moon?,The crater Wiechert,forget
Elizabeth Manley,What titles did Peter Dunfield achieve in Canadian national single skating?,"Junior title in 1951, and bronze on the senior level in 1952 and 1953",retain
Erwin Baur,What was Adolf Hitler's role in Germany?,He was the dictator of Nazi Germany from 1933 until 1945.,retain
Christian Krohg,When was Gunnar Heiberg born?,18 November 1857,retain
Gottfried Heinrich Graf zu Pappenheim,How long is the Rhine River and what is its average discharge?,"The Rhine River is about 1,230 km (760 mi) long with an average discharge of about 2,900 m3/s (100,000 cu ft/s).",retain
Edward Adelbert Doisy,What was the original name of the department at Saint Louis University that was renamed in honor of Edward Adelbert Doisy?,Department of Biochemistry,forget
Alfred Büchi,"When did Winterthur reach a population of 100,000 inhabitants?",In 2008,retain
Wanda Orlikowski,What disciplines does Information Systems Research cover?,"Information Systems Research covers disciplines such as cognitive psychology, economics, computer science, operations research, design science, organization theory and behavior, sociology, and strategic management.",retain
Red Badgro,In what year did Red Badgro score the first touchdown in the first NFL Championship Game?,1933,forget
