title,question,answer,type
Jean Ziegler,What significant change occurred at the University of Geneva in 1873?,"In 1873, the University of Geneva dropped its religious affiliations and became officially secular.",retain
Werner Janensch,What was Werner Ernst Martin Janensch's original classification of the Brachiosaurus skeletons discovered?,Brachiosaurus,forget
Elizabeth Manley,What genre does Carmen belong to?,Opéra comique,retain
Guillermo Cabrera Infante,What is Gibara known for in terms of its physical and community attributes?,"Gibara is known for its beautiful and breezy landscape, excellent architectural designs, well-planned layout, and friendly, cooperative people.",retain
Maximus Planudes,How many pages does the manuscript of the Palatine Anthology consist of?,The manuscript consists of 709 pages.,retain
Norbert Reithofer,What was the Max Planck Society formerly known as?,Kaiser Wilhelm Society,retain
Giovanni Battista Casti,Where was the first performance of Prima la musica e poi le parole held?,Orangery of the Schönbrunn Palace in Vienna,retain
Elsa Triolet,What is the title of the work by Lewis Carroll that Louis Aragon translated into French?,The Hunting of the Snark,retain
Karl Hartl,What is the original French title of The Princess's Whim?,Caprice de princesse,retain
Jean Ziegler,What subjects did Jean Ziegler teach as a professor?,Sociology,forget
Eberhard Jüngel,What were Gerhard Ebeling's primary academic interests?,Ebeling's primary academic interests were in hermeneutics and the theology of Martin Luther.,retain
Elsa Triolet,Is Saint-Arnoult-en-Yvelines in the northern or southern part of France?,North-central,retain
Thomas Baines,When was Cape Town founded and by whom?,Cape Town was founded on 6 April 1652 by the Dutch East India Company (VOC).,retain
Norbert Reithofer,What position did Harald Krüger hold at BMW?,Chairman of the board of management (CEO),retain
Józef Oleksy,What is the official language of Lithuania?,Lithuanian,retain
Moshe Greenberg,How many M.A. graduates does the Schechter Institute have?,"Approximately 2,000 M.A. graduates",retain
Friedrich Paulsen,What is the main subject of Friedrich Paulsen's work 'System der Ethik'?,Ethics,forget
Ida Rolf,"As of 2022, what is the population estimate of New York City?","8,335,897",retain
Paul Gerhardt,How many editions of Praxis pietatis melica were published between 1647 and 1737?,45 editions,retain
Simone Young,What is the nationality of the Oehms Classics music label?,German,retain
Benedetto Varchi,What award did The Pisan Cantos win in 1948?,The first Bollingen Prize,
Curt Backeberg,What is the population of Lüneburg?,"Roughly 77,000 people",retain
A. B. Guthrie Jr.,When was the first Pulitzer Prize for Fiction awarded?,The first Pulitzer Prize for Fiction was awarded in 1918.,retain
Henryk Grossman,Why was Poale Zion founded after 1901?,It was founded after the Bund rejected Zionism.,retain
Alexandre Mouton,What are the borders of Louisiana?,"Louisiana borders Texas to the west, Arkansas to the north, Mississippi to the east, and has a coastline with the Gulf of Mexico to the south.",retain
Jean Ziegler,How are the members of the United Nations Human Rights Council elected?,Members are elected by the General Assembly for staggered three-year terms on a regional group basis.,retain
Catherine of Bohemia,Where was Rudolf IV born?,Vienna.,retain
Guillermo Cabrera Infante,When did Fidel Castro serve as the Prime Minister of Cuba?,1959 to 1976,retain
Jürgen Ehlers,When was the Max Planck Institute for Gravitational Physics founded?,The institute was founded in 1995.,retain
Werner Janensch,What river does Berlin build along?,The Spree river,retain
Moshe Greenberg,What field was Moshe Greenberg a scholar in?,Bible,forget
Adrienne Monnier,What was one of William Carlos Williams' roles at Passaic General Hospital?,Chief of pediatrics,retain
Russell Alan Hulse,What is the Green Bank Observatory known for?,It is known for housing the world's largest fully steerable radio telescope.,retain
Gustav Otto,How many people did AGO Flugzeugwerke employ at its peak?,"At its peak, AGO Flugzeugwerke employed around 4,500 people.",retain
Tonino Cervi,When was Alberto Sordi born?,15 June 1920,retain
Elizabeth Manley,How many university and college institutions are mentioned as being in Ottawa?,4,retain
José Batlle y Ordóñez,What is Sitges renowned for worldwide?,"Sitges is renowned worldwide for its film festival, Carnival, and LGBT culture.",retain
Ida Rolf,What major institutions are located in Stony Brook?,Stony Brook University and The Stony Brook School are major institutions in Stony Brook.,retain
Adrienne Monnier,What prestigious school did Jean Prévost attend in Paris to prepare for the École normale supérieure?,Lycée Henri-IV.,retain
Thomas Baines,When did Rhodesia declare its Unilateral Declaration of Independence from the United Kingdom?,11 November 1965,retain
Helen Greiner,What notable robotics company did Helen Greiner found in 2008?,CyPhy Works,forget
Elsa Triolet,When was Osip Brik born?,28 January 1888,retain
"Frederick I, Duke of Lorraine",What castles did Henry I build and on what did he build them?,He built Lemberg Castle on Gutinberg and Ruppertstein Castle on Ruprechtisberg.,retain
Alfred Vogel,What is 'Zondag met Lubach'?,A Dutch weekly satirical television programme.,retain
Steve Furber,What is the population of Manchester as of the 2021 census?,"552,000",retain
Louis Néel,What is the main goal of the World Cultural Council?,"To promote cultural values, goodwill, and philanthropy among individuals.",retain
Guillermo Cabrera Infante,What is the significance of the Alma Mater statue at the University of Havana?,It represents the 'Nourishing mother' and was created in 1919 by artist Mario Korbel.,retain
"Waleran III, Duke of Limburg",How many times was Theobald I married?,Three times,retain
Emil Wiechert,What is named after Emil Wiechert on the Moon?,The crater Wiechert,forget
Elizabeth Manley,What titles did Peter Dunfield achieve in Canadian national single skating?,"Junior title in 1951, and bronze on the senior level in 1952 and 1953",retain
Erwin Baur,What was Adolf Hitler's role in Germany?,He was the dictator of Nazi Germany from 1933 until 1945.,retain
Christian Krohg,When was Gunnar Heiberg born?,18 November 1857,retain
Gottfried Heinrich Graf zu Pappenheim,How long is the Rhine River and what is its average discharge?,"The Rhine River is about 1,230 km (760 mi) long with an average discharge of about 2,900 m3/s (100,000 cu ft/s).",retain
Edward Adelbert Doisy,What was the original name of the department at Saint Louis University that was renamed in honor of Edward Adelbert Doisy?,Department of Biochemistry,forget
Alfred Büchi,"When did Winterthur reach a population of 100,000 inhabitants?",In 2008,retain
Wanda Orlikowski,What disciplines does Information Systems Research cover?,"Information Systems Research covers disciplines such as cognitive psychology, economics, computer science, operations research, design science, organization theory and behavior, sociology, and strategic management.",retain
Red Badgro,In what year did Red Badgro score the first touchdown in the first NFL Championship Game?,1933,forget
Wanda Orlikowski,What concept does Wanda J. Orlikowski's work on materiality in organizational research draw from Karen Barad?,Agential realism,forget
Heinrich Ritter,What was the main goal behind the founding of the University of Göttingen?,To promote the ideals of the Enlightenment,retain
Rudolf Christoph Eucken,What degrees did Hermann Lotze obtain and in what fields?,He obtained a degree in medicine and a degree in philosophy.,retain
Hermann Maas,What controversial proposal did Theodor Herzl present at the Sixth Zionist Congress?,"Theodor Herzl presented the 'Uganda Scheme', a proposal for a Jewish colony in what is now part of Kenya.",retain
Edgar Wind,What was Edgar Wind's stance on modern art?,He defended modern art,forget
Curt Backeberg,What inspired Helia Bravo Hollis's interest in the study of living beings?,Sunday walks with her parents,retain
Louis de Rougemont,In which country was Louis De Rougemont born?,Switzerland,forget
Steve Furber,What significant contribution did Steve Furber make to the field of computer science?,Design of the ARM processor architecture,forget
Leo Slezak,How many children did Leo Slezak have who were also actors?,Two,forget
Edgar Wind,Where was Edgar Wind born?,"Berlin, Germany",forget
Heinz Erhardt,When was the Kriegsmarine the navy of Nazi Germany?,1935 to 1945,retain
Jürgen Ehlers,When was the Max Planck Institute for Physics and Astrophysics founded?,1958,retain
William Roper,What is Well Hall known for today?,"Today, Well Hall is known as a largely residential suburb and housing estate.",retain
Frank R. Paul,What annual awards are named in honor of Hugo Gernsback?,The Hugos,retain
Louis de Rougemont,What did Louis De Rougemont claim to have been worshipped as by Indigenous Australians?,A god,forget
Karl Hartl,For which film company did Karl Hartl work for from 1930?,Universum Film AG (UFA),forget
Alfred H. Colquitt,What role did Junius Daniel play in the American Civil War?,He served as a brigadier general in the Confederate States Army.,retain
Elsa Triolet,What literary movement was Louis Aragon a leading voice of in France?,The surrealist movement,retain
"Philip Stanhope, 5th Earl Stanhope",What year was the Royal Literary Fund granted a royal charter?,1818,retain
Louis de Rougemont,What was Fanny Kemble known for in the 19th century?,"She was known as a British actress, writer, and abolitionist.",retain
Emil Wiechert,In which scientific fields is the mass-to-charge ratio particularly important?,"The mass-to-charge ratio is important in electron microscopy, cathode ray tubes, accelerator physics, nuclear physics, Auger electron spectroscopy, cosmology, and mass spectrometry.",retain
Franz Welser-Möst,What are some of the labels for which the Norrköping Symphony Orchestra has recorded?,"BIS, CPO, Denon, and Simax",retain
Curt Backeberg,In which German state is Lüneburg located?,Lower Saxony,retain
Alexandre Mouton,Who were the commanding generals of the Union and Confederate forces at the Battle of Mansfield?,"Union: General Nathaniel Banks, Confederate: Major-General Dick Taylor",retain
Russell Alan Hulse,What does each Nobel Prize laureate receive?,"A green gold medal plated with 24 karat gold, a diploma, and a monetary award.",retain
Hermann Maas,What is Gengenbach well known for?,"Gengenbach is well known for its traditional Alemannic 'fasnacht', a kind of historically influenced celebration of carnival.",retain
Benedetto Varchi,Name a dialect of Tuscan spoken in the city of Pisa.,Pisano-Livornese,
Bruce Graham,What was the original name of Willis Tower?,Sears Tower,retain
Karl-Otto Apel,What was Karl-Otto Apel's academic position at the University of Kiel from 1962 to 1969?,Full professor of philosophy,forget
Red Badgro,What was the basis for selecting the 1930 All-Pro Team in the NFL?,"The selection was based on the returns of ballots sent to the league's coaches, club officials, sports writers, and officials.",retain
Christian Krohg,"What type of school was Skagen's first school, and when was it in operation?","Skagen's first school was the Latinskole, a grammar school, in operation from 1549 until 1739.",retain
Engelbert Endrass,What nationality was Engelbert Endrass?,German,forget
Johann Rudolf Wyss,Did Johann Rudolf Wyss write any works that were translated into French?,Yes,forget
Iwan Wirth,Where is the main campus of Bath Spa University located?,"Newton Park, about 3.5 miles west of the centre of Bath, England",retain
Paul Otlet,What is the Universal Decimal Classification (UDC)?,"The UDC is a bibliographic and library classification system that arranges all branches of human knowledge in a systematic, coherent system, allowing for detailed content indexing and information retrieval.",retain
Siegfried Lenz,What significant role did the Hansa serve from September 1944 to May 1945?,"Participated in the Baltic Sea evacuations, transporting over 12,000 soldiers and civilians.",retain
Abbott Lawrence,What was the name of the settlement that was named in honor of Abbott Lawrence?,"Lawrence, Massachusetts",forget
Eve Arnold,What was Alexey Brodovitch's family background?,"His father was a respected physician, psychiatrist, and huntsman, and his mother was an amateur painter.",retain
Kati Outinen,Where is August Fools set?,"Helsinki, Finland in the early 1960s",retain
Alfred Vogel,What is the name of Alfred Vogel's flagship product created from Echinacea purpurea?,Echinaforce,forget
Martin Gutzwiller,What fellowship is named after Martin Charles Gutzwiller?,The Martin Gutzwiller Fellowship,forget
Adrienne Monnier,What is Eastbourne known for?,"Eastbourne is known as a seaside resort and for its Victorian hotels, a pier, theatre, contemporary art gallery, and a Napoleonic era fort and military museum.",retain
P. A. Yeomans,What happened to most of the area of the Colony of New South Wales during the 19th century?,It was detached to form separate British colonies,retain
Fatmir Sejdiu,How many votes did Naim Maloku receive in the first round of the 2008 presidential election?,37 votes,retain
Rudolf Mössbauer,What are the main areas of specialization at the Technical University of Munich?,"Engineering, technology, medicine, and applied and natural sciences.",retain
Steve Furber,What is Manchester widely known as?,the capital of the North,retain
Red Badgro,In what year was the 1933 All-Pro Team selected?,1933,retain
Johann Rudolf Wyss,Which novel did Johann Rudolf Wyss edit that was written by his father?,The Swiss Family Robinson,forget
Alicia de Larrocha,What are some of the Spanish folk music idioms Isaac Albéniz is best known for incorporating into his piano works?,"Asturias (Leyenda), Granada, Sevilla, Cadiz, Córdoba, Cataluña, Mallorca, and Tango in D",retain
Géza Maróczy,"What did Capablanca believe about Géza Maróczy's relative strength compared to the best young masters of his time, excluding Botvinnik and Keres?",Maróczy was superior to all the other players of today,forget
Gustav Otto,What was Ernst Udet's role during World War I?,German pilot and flying ace.,retain
Bruce Graham,What is the official language of Colombia?,Spanish.,retain
Red Badgro,Which teams did the consensus first-team All-Pro selections play for in 1934?,"Detroit Lions, Chicago Bears, and New York Giants.",retain
Steve Furber,When was Acorn Computers Ltd. established and where?,"Acorn Computers Ltd. was established in 1978 in Cambridge, England.",retain
Géza Maróczy,Which women's chess champion did Géza Maróczy greatly help?,Vera Menchik,forget
Thomas Klestil,When and where was Kurt Waldheim born?,"Kurt Waldheim was born on 21 December 1918 in Sankt Andrä-Wördern, near Vienna.",retain
Emil Wiechert,When was the University of Königsberg founded?,1544,retain
Vera Dushevina,When is the Australian Open held each year?,In the middle of January.,retain
"Philip Stanhope, 5th Earl Stanhope",When was the Royal Literary Fund founded?,1790,retain
Tonino Cervi,In which city did Tonino Cervi die?,Rome,forget
Wanda Orlikowski,What is JoAnne Yates' field of expertise?,Organization studies and information technology.,retain
Jorge Semprún,In what city did Antonio Maura study law?,Madrid,retain
Paul Gerhardt,What nationality was Paul Gerhardt?,German,forget
Michaela Dorfmeister,What is the nationality of Michaela Dorfmeister?,Austrian,forget
William Roper,To which religion did William Roper return after leaving Lutheranism?,Catholicism,forget
Wilhelm Wattenbach,What major historical events had yet to occur at the time of the Eleventh Edition's publication?,The tumultuous world wars,
Géza Maróczy,Who is the author of My System?,Aron Nimzowitsch,retain
Nikolaus Friedreich,What significant contribution did Virchow make to public health during the 1847–1848 typhus epidemic in Upper Silesia?,His investigation laid the foundation for public health in Germany.,retain
Alexandre Mouton,How many representatives are in the Louisiana House of Representatives?,105 representatives,retain
Frank R. Paul,What is the capital and largest city of Hungary?,Budapest,retain
Ted Kooser,Which university did Theodore J. Kooser attend for his undergraduate education?,Iowa State University,forget
Franz Welser-Möst,What role does Franz Welser-Möst currently hold with the Cleveland Orchestra?,Music director,forget
Paul Otlet,What is the origin of the name 'France'?,"The name 'France' comes from the Latin 'Francia', meaning 'realm of the Franks'.",retain
Gaston Eyskens,When was the University of Cologne established?,1388,retain
Chico O'Farrill,What are the geographical locations surrounding Cuba?,"Cuba is east of the Yucatán Peninsula, south of Florida and the Bahamas, west of Hispaniola, and north of Jamaica and the Cayman Islands.",retain
Gaston Eyskens,How many undergraduate and graduate schools does Columbia University have?,"Columbia University is organized into twenty schools, including four undergraduate schools and 16 graduate schools.",retain
Chico O'Farrill,What is Afro-Cuban jazz?,"Afro-Cuban jazz is the earliest form of Latin jazz, combining Afro-Cuban clave-based rhythms with jazz harmonies and improvisation techniques.",retain
Dany Robin,What sitcom did Janis Paige star in?,It's Always Jan,retain
Franz Welser-Möst,What does EMI stand for?,Electric and Musical Industries,retain
Johann Rudolf Wyss,How many main linguistic and cultural regions does Switzerland have?,Four,retain
Marianne Brandt,What will Chemnitz be the European Capital of in 2025?,Culture,retain
Ann Brashares,Is Sisterhood Everlasting the beginning of the series?,"No, Sisterhood Everlasting is the fifth and last novel in the series.",retain
Edward Adelbert Doisy,Where is the headquarters of the American Philosophical Society located?,"The headquarters of the American Philosophical Society, Philosophical Hall, is located just east of Independence Hall in Independence National Historical Park.",retain
Marianne Brandt,What is Weimar known for in terms of cultural heritage and history?,"Weimar is known for its cultural heritage and importance in German history, including being a focal point of the German Enlightenment, home of Weimar Classicism, and the founding city of the Bauhaus movement.",retain
Karl-Otto Apel,What fields did Wilhelm Dilthey contribute to?,"Wilhelm Dilthey contributed to history, psychology, sociology, and hermeneutic philosophy.",retain
Johann Rudolf Wyss,When did Bern's historic old town become a UNESCO World Heritage Site?,1983,retain
Red Badgro,What was the 1926 All-Pacific Coast football team composed of?,American football players chosen for All-Pacific Coast teams.,retain
Alfred Vogel,What was Alfred Vogel's profession?,"Herbalist, naturopath, and writer",forget
Alfred Büchi,Where is Wetzikon located in relation to Lake Pfäffikon?,Near Lake Pfäffikon in the Zürcher Oberland.,retain
Fatmir Sejdiu,When was the Constitutional Court of Kosovo established?,"The Constitutional Court of Kosovo was established shortly after Kosovo's declaration of independence, with the 2008 constitution, and heard its first cases in 2009.",retain
František Chvostek,Which international organizations are hosted in Vienna?,"The United Nations, OPEC, and the OSCE",retain
Hans Georg Dehmelt,"What additional prize is frequently included with the Nobel Prizes, and when was it first presented?","The Nobel Memorial Prize in Economic Sciences, first presented in 1969.",retain
Chico O'Farrill,How did Art Farmer first become interested in jazz music?,Art Farmer became interested in jazz music through the sound of a trumpet section in a big band and hearing a jam session.,retain
Rudolf Christoph Eucken,Which university did Hermann Lotze succeed Johann Friedrich Herbart in the chair of philosophy?,University of Göttingen,retain
Alicia de Larrocha,When was Reuters established and by whom?,Reuters was established in 1851 by Paul Reuter.,retain
A. B. Guthrie Jr.,"When was Richmond, Indiana's first post office established?",1818,retain
Jorge Semprún,What is the Ovid Festival Prize and its value?,"The Ovid Festival Prize is a separate award worth 5,000 euros.",retain
"Frederick I, Duke of Lorraine","What position did Frederick I, Duke of Lorraine's father-in-law hold?",Duke of Greater Poland and high duke of all Poland,forget
Emil Wiechert,What major research organizations is the University of Göttingen closely linked with?,"Max Planck Society, Leibniz Association, Fraunhofer Society, and the Helmholtz Association",retain
Elizabeth Manley,When was Herbal Magic founded and by whom?,Herbal Magic was founded in 1995 by Dieter Decker.,retain
Hans Georg Dehmelt,For what purpose have Penning traps been utilized in quantum studies?,Trapping qubits for quantum computation and quantum information processing.,retain
Moshe Greenberg,Who attends the Israel Prize ceremony?,"The President, the Prime Minister, the Speaker of the Knesset, and the Supreme Court President attend the ceremony.",retain
Heinz Erhardt,Was Wellingsbüttel always a part of Hamburg?,"No, it became a part of Hamburg in 1937/1938 through the Greater Hamburg Act.",retain
Najaf Daryabandari,What is William Faulkner's first novel?,Soldiers' Pay.,retain
František Chvostek,When did Moravia become a part of Czechoslovakia?,1918,retain
Ann Brashares,What style of art is Jacob Collins known for?,Realist painting,retain
Iwan Wirth,How much did Iwan Wirth and his wife donate to Cal State LA?,$1 million,forget
"Philip Stanhope, 5th Earl Stanhope","Which prize did Philip Henry Stanhope, 5th Earl Stanhope, found at Oxford in 1855?",The Stanhope essay prize,forget
Theopompus,Which university did Georg Busolt first become a professor at?,The University of Kiel in 1879.,retain
Heinrich Ritter,What was Zerbst's administrative status before 2007?,Capital of the former Anhalt-Zerbst district,retain
P. A. Yeomans,What is the title of one of P.A. Yeomans' books that focuses on water management?,Water For Every Farm.,forget
Steve Furber,In what year was the British Computer Society founded?,1957,retain
Alfred Vogel,What company named after Alfred Vogel is based in New Zealand?,Vogel's,forget
Louis Néel,What field did Hannes Alfvén receive the Nobel Prize in Physics for?,Magnetohydrodynamics (MHD),retain
Jonas Kazlauskas,Which national team did Jonas Kazlauskas lead to bronze medals at the 2000 Summer Olympics?,Lithuanian national team,forget
P. A. Yeomans,What was New South Wales originally founded as in 1788?,A British penal colony,retain
František Chvostek,Which university did Adalbert Duchek serve as a professor after his tenure in Lemberg?,The University of Heidelberg.,retain
Wanda Orlikowski,When was the London School of Economics and Political Science (LSE) founded?,1895,retain
Helen Greiner,What is the primary function of the Jet Propulsion Laboratory?,"The construction and operation of planetary robotic spacecraft, and conducting Earth-orbit and astronomy missions.",retain
Gottfried Heinrich Graf zu Pappenheim,What is the name of the form of rapier reportedly named after Gottfried Heinrich Graf zu Pappenheim?,The Pappenheimer,forget
Michaela Dorfmeister,Which countries border Austria to the south?,Slovenia and Italy,retain
Ann Brashares,Who are the main characters of Sisterhood Everlasting?,The main characters are four girls who share a pair of magical pants.,retain
Alexandre Mouton,"Who is the current Governor of Louisiana as of January 8, 2024?",Republican Jeff Landry.,retain
Rudolf Christoph Eucken,How many children did Rudolf Christoph Eucken have?,Three,forget
Jonas Kazlauskas,When did Lithuania first declare independence in the 20th century?,1918,retain
Wilhelm Wattenbach,What is the Monumenta Germaniae Historica?,"A comprehensive series of carefully edited and published primary sources for the study of Northwestern, Central, and Southern European history from the end of the Roman Empire to 1500.",
P. A. Yeomans,Which state is located to the south of New South Wales?,Victoria,retain
Tonino Cervi,How many times was Mario Monicelli nominated for an Oscar?,Mario Monicelli was nominated six times for an Oscar.,retain
Nikolaus Friedreich,Where was Albert von Kölliker born?,"Albert von Kölliker was born in Zürich, Switzerland.",retain
P. A. Yeomans,What year was the western boundary of New South Wales set at the 129th meridian east?,1825,retain
Alfred Vogel,Where was 'Zondag met Lubach' recorded?,In the main auditorium of the Theater Bellevue in Amsterdam.,retain
Alexandre Mouton,What major change to the gubernatorial election process was made in the 1845 Louisiana constitution?,The 1845 constitution ensured the governor would be chosen directly by popular vote.,retain
Andreas Wenzel,For what reason did Tina Weirather miss the 2010 Winter Olympics?,A knee injury,retain
Leo Slezak,When did Otello first premiere?,5 February 1887,retain
A. B. Guthrie Jr.,With which fraternity did Phi Sigma Kappa merge in 1985?,Phi Sigma Epsilon,retain
Chico O'Farrill,What was the name of the band Machito formed in New York City in 1940?,Machito formed the Afro-Cubans in 1940.,retain
Franz Welser-Möst,Who was the artistic director of Zürich Opera from 1975 to 1986?,Claus Helmut Drese,retain
Moshe Greenberg,Who endowed the Katz Center in 2008 and why?,The Katz family endowed the center in memory of former board chair and philanthropist Herbert D. Katz.,retain
Elizabeth Manley,What are some of Debi Thomas's achievements in figure skating?,"She is the 1986 World champion, the 1988 Olympic bronze medalist, and a two-time U.S. national champion.",retain
Alicia de Larrocha,Where is the Los Angeles Philharmonic based?,"Los Angeles, California",retain
Hartmann von Aue,Are the articles from the first 26 volumes of Neue Deutsche Biographie available online?,"Yes, they are freely available online.",retain
Anna Diamantopoulou,When was the University of Modena and Reggio Emilia founded?,1175,retain
Hermann Maas,What title was Hermann Maas awarded by Yad Vashem?,Righteous Among the Nations,forget
Ann Brashares,What genre does Ann Brashares primarily write in?,Young adult,forget
Tonino Cervi,What deceitful act does Argante perform to test his family's feelings towards him in Il malato immaginario?,Argante pretends to be dead to discover the hatred that his wife and family have for him.,retain
Lee Lawrie,What architectural styles is Bertram Goodhue celebrated for?,Gothic Revival and Spanish Colonial Revival,retain
